q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
86,What was the ratio of Gold-Silver coins in the Shaka-Kshatrapa period?,1:20,1:25,1:35,1:10,Uttarakhand PCS (Pre),2021,c,"Exp) Option c is the correct answer.

In the Shaka-Kshatrapa period, gold and silver coins were

known as “Dinara” and “Rupaka” respectively. The ratio of

Gold-Silver coins was around 1 : 35, indicating that for each

unit of gold coin, approximately 35 units of silver coins were

in circulation, reflecting the prevailing monetary system and

metal values."
87,There were different causes for the downfall of the Gupta Empire.Which one among the statements given below was not the cause?,Huna invasion,Feudal set-up of administration,Acceptance of Buddhism by the later Guptas,Arab invasion,Uttarakhand P.C.S.(Pre),2012,d,"Exp) Option d is the correct answer.

The Gupta Empire was not affected by the Arab invasion,

which occurred in the 7th and 8th centuries CE, after the

decline of the Gupta Empire. The Arab invasion mainly

targeted the regions of Sindh and Multan, which were ruled

by the Brahmanas and the Rai dynasty respectively.
Important Tips

The Gupta Empire, on the other hand, was weakened by

the following factors:

* Huna invasion: They challenged the authority of the
Gupta emperors, especially Skandagupta, who fought
bravely against them but could not stop their advance.

+ Feudal set-up of administration: The Gupta Empire
had a decentralized system of administration, where
the local governors and feudal lords enjoyed a high
degree of autonomy and power. This led to the
fragmentation and disintegration of the Gupta Empire,
as the loyalty and allegiance of these subordinates to
the central authority declined over time

¢ Acceptance of Buddhism by the later Guptas: The
later Guptas, who ruled over Magadha and Bengal after
the collapse of the main Gupta dynasty, were influenced
by Buddhism and patronized Buddhist institutions.
This alienated them from the Hindu majority of
their subjects, who were loyal to the earlier Guptas,
who were devout followers of Vaishnavism. ‘his also
weakened their political and military strength, as they
faced opposition from Hindu revivalist movements
and foreign invaders."
88,"Arrange the following in chronological order:
A.Satvahanas
B.Vakatakas
C.Chalukyas
Select the correct code from the following:",B-C-A,C-B-A,C-A-B,A-B-C,Jharkhand P.C.S.(Pre.),2021,d,"Exp) Option d is the correct answer.

The correct chronological order of the dynasties mentioned
in the question is:

1. Satvahanas (2nd century BCE - 3rd century CE)

2. Wakatakas (3rd century - 6th century CE)

3. Chalukyas (6th century - 12th century CE)"
89,The Chinese Pilgrim who visited India in the early 6th century was-,Ywan Chwang,Fahien,Sung Yun,I-tsing,Jharkhand P.C.S.(Pre),2016,c,"Exp) Option c is the correct answer.

Sung Yun was a Chinese Buddhist monk who was sent along
with some companions including monk Hui Zheng by the
devout Buddhist Emperor Hu of the Northern Wei Dynasty
to north-western India to search for Buddhist texts.

Sung Yun came to India during the reign of the Gupta
emperor Kumaragupta I. He visited India in the early 6th
century CE, around 518-522 CE. He brought back many
Sanskrit manuscripts and relics, and also wrote an account
of his travels, which is preserved in the Chinese Buddhist

canon. He was one of the earliest Chinese pilgrims who
visited India and provided valuable information about the
political, social, and religious conditions of India at that
time."
90,Which Chinese general had defeated Kanishka?,Pan Chao,Ban Yong,She Huang Ti,Ho-Ti,Jharkhand P.C.S.(Pre),2003,a,"Exp) Option a is the correct answer.

The Chinese general who defeated Kanishka was Pan Chao
(also known as Ban Chao). As per the book of the Later
Han Dynasty, Hou Hanshu, general Ban Chao fought
battles near Khotan with a Kushan army of 70,000 men.
He was successful in repelling the Kushans following
a scorched-earth policy in 90 AD. He was a prominent
diplomat, explorer, and military general of the Eastern Han
Dynasty. Ban Chao played a significant role in administering
and establishing Han control over the “Western Regions”
(Central Asia). He also led Han forces in campaigns against
the Xiongnu and re-established Ian influence in the Tarim
Basin region. Ban Chao’s efforts earned him the title of
Protector General of the Western Regions,"
91,"Match List-I with List-II and select the correct answer using the codes given below the lists:

A.Shunga          1.Mahoba
B.Satavahana      2.Banvasi
C.Kadamb          3.Paithan
D.Chandel         4.Pataliputra

Code: 
A B C D",4 3 2 1,4 2 3 1,1 4 2 3,1 2 3 4,RAS/RTS (Pre),2018,a,"Exp) Option a is the correct answer.

Option A of List-I matches Option 4 of List-II: The Shunga
dynasty, an ancient Indian ruling dynasty, established their
capital at Pataliputra, a prominent city on the banks of the
Ganges River in present-day Patna, Bihar, India.

Option B of List-l matches Option 3 of List-Il: The
capital of the Satavahana dynasty was Paithan, historically
Pratisthan, situated on the banks of the Godavari River in
ancient India.

Option C of List-I matches Option 2 of List-II: The
Kadamba is the first dynasty to be established in Karnataka.
Their capital was Banavasi which is in today’s North canara
district, Karnataka. Mayurasharma was the founder and a
great king of this dynasty.

Option D of List-I matches Option 1 of List-II: The
Chandellas ruled over central India from the ninth to the
thirteenth centuries. Khajuraho was their first capital city,
but it was later moved to Mahotsava Nagar or Mahoba,
The Chandelas of Jejakabhukti were a Central Indian royal
dynasty. Nannuka was the founder of India’s Chandela
dynasty."
92,"Centers located in Gujarat, Bengal, Deccan and Tamil Country during the Gupta period were asseciated with which of the following?",Textile manufacture,Gems and precious stones,Handicrafts,Opium cultivation,R.A.S./R.E.S.(Pre),2010,a,"Exp) Option a is the correct answer.

The centers located in Gujarat, Bengal, Deccan and Tamil
Country during the Gupta period were associated with
textile manufacture. Textile manufacture was one of the
most important industries in ancient India. It was a source
of wealth, prestige, and foreign trade. The Gupta period
witnessed a flourishing of textile production and export to
various regions of Asia, Africa, and Europe.

. Important Tips |
Some of the famous centers of textile manufacture |
during the Gupta period were: |
e Gujarat: Gujarat was known for producing fine cotton |
fabrics, silk fabrics, and brocade work. It exported |
textiles to Arabia, Persia, Egypt, and Rome. Some:
of the important ports of Gujarat were Bharuch, |
Cambay, and Sopara. i
¢ Bengal: Bengal was known for producing muslin, |
a fine cotton fabric that was highly valued for its |
softness, lightness, and transparency. It exported
muslin to China, Southeast Asia, and Rome. Some
of the important ports of Bengal were Tamralipti,
Chittagong, and Sonargaon,
e Deccan: Deccan was known for producing cotton |
fabrics dyed with various colors and patterns. It!
exported textiles to Sri Lanka, Southeast Asia, and |
China. Some of the important ports of Deccan were
Kalyan, Chaul, and Dabhol. |
e Tamil region: Tamil region was known for producing |
silk fabrics, cotton fabrics, and woolen fabrics. It
exported textiles to Sri lanka, Southeast Asia, China, |
and Rome. Some of the important ports of Tamil ;
Country were Kaveripattinam, Nagapattinam, and |
| Muzitiss"
93,The institution of child marriage started in which period?,Maurya period,Kushan period,Gupta period,In the time of Harshavardhan,R.A.S./R.T.S.(Pre) (Re-exam.),2000,b,"Exp) Option 6 is the correct answer.
The institution of child marriage started in the Kushan
period. The Kushans were a Central Asian people who
ruled large parts of India from the Ist to the 3rd centuries
CE. They were influenced by the cultures of both India and
Central Asia, and they brought with them many new ideas
and practices, including the practice of child marriage.
The practice of child marriage was not common in India
before the Kushan period. However, it became increasingly
common during the Kushan period and in the centuries that
followed. There were a number of reasons for this, including
the belief that child marriage would ensure the purity of
the bride and groom, the desire to secure family alliances
through marriage, and the economic beuefits of having a
son at a young age."
94,First Persian ruler who captured some part of India was-,Cyrus,Cambyses,Darius-I,Shaharsh,R.A.S./R.TS.(Pre),1994,a,"Exp) Option a is the correct answer.
The Achaemenid conquest of the Indus Valley began
in the 6th century BCE, with the first invasion led by
Cyrus the Great. He annexed areas west of the Indus River,
establishing control over northwestern regions of the Indian
subcontinent, primarily in present-day Pakistan. Darius
the Great later continued the campaign, expanding Persian
territories in India up to the Jhelum River in Punjab around
518 BCE."
95,Which field was mostly contributed by Eastern Roman ruler Justinian?,Law,Architecture,Science,Literature,"R.A.S./R.T.S, (Pre)",1994,a,"Exp) Option a is the correct answer.
Emperor Justinian I, also known as Justinian the Great,
primarily contributed to the field of law. His reign is
marked by the significant codification and rewriting
of Roman law, known as the Corpus Juris Civilis, which
remains a foundational legal document in many modern
legal systems. This extensive legal compilation played a
crucial role in shaping legal principles and concepts that
continue to influence legal systems today."
96,"During Post Gupta Peried, main business centre was-",Kannauj,Ujjain,Dhar,Devgiri,R.A.S. (Pre),1993,a,"Exp) Option a is the correct answer.
Kannauj was the main business centre during the post-
Gupta period. It spanned from the 6th to the 8th century CE.
Kannauj was the capital of several powerful dynasties, such
as the Maukharis, the Later Guptas, and the Harshavardhana.
Kannauj was a prosperous and cosmopolitan city that had a
flourishing trade with various regions of India and abroad.
Kannauj was famous for its production and export of
perfumes, textiles, jewels, and spices.

Important Tips

Facts about business center during various histrocial

period:

« Dhar was a major business center during the Early
Medieval period. It was in western India, and it was the
capital of the Gurjara-Pratihara dynasty. The city was
also home to a number of industries, such as textiles
and metalworking.

¢ Devgiri was a major business center during the Later
Medieval period. It was in western India, and it was the
capital of the Yadava dynasty. The city was also home to

1 several industries, such as textiles and metalworking.

¢ Ujjain was another important business center during
the Post-Gupta period, not as large as Kannayj. It |
was in central India and it was a major religious and !
cultural center. The city was also home to a number of |
industries, such as textiles and metalworking."
97,Which of the following inscription known as the first advertisement of the world?,Dashpur inscription,Sohgara inscription,Supia inscription,Eran inscription,MPPCS (Pre),2021,a,"Exp) Option a is the correct answer.

Dashpur inscription is known as the first advertisement

of the world. This advertisement was written in Sanskrit in

Mandsaur Madhya Pradesh India. This advertisement was

written by some businessman on the wall of surya mandir in

khilchipura in mandsaur. This advertisement is written for

promoting silk saris sales. It was the first advertisement of

the world and this was proved by specialist and scientist by

seeing an inscription on the wall.

| Important Tips |

¢ The Supia inscription is an ancient inscription found

in the village of Supia, located in the Indian state of
Madhya Pradesh. This inscription dates back to the j
reign of the Gupta king skandagupta.

+ The Eran inscription is in state of Madhya Pradesh.
It is associated with the Gupta dynasty and provides
historical and epigraphic evidence of Gupta rule.

.e The Sohgaura copper plate inscription is an Indian
copper plate inscription written in Prakrit in the
Brahmi script. It was discovered in Sohgaura, a village
on the banks of the Rapti River, Gorakhpur District,
Uttar Pradesh, India. It gives information about grain
distribution due to famine in Mauryan period."
98,The Malaw Samvat was also known as:,Kalchuri Samvat,Krit Samvat,Saka Samvat,Gupta Samvat,MPPCS (Pre),2021,b,"Exp) Option b is the correct answer.
The Malaw Samvat was also known as the Krit Samvat,
which was a type of Hindu calendar system that started in 57
BC. It was initiated by the Malava people to commemorate
their victory over the foreign invaders called the Sakas. The
Malaw Samvat is also known as the Vikram Samvat, after the
legendary king Vikramaditya of Ujjain, who is said to have
defeated the Sakas. The Malaw Samvat is still widely used in
India, especially in northern and western regions."
99,Which of the following inscription reveals information about Silk Weavers Guild?,Dashpur Inscription,Prayag Prashasti,Eran Inscription,Hathigumpha Inscription,M.P.P.C.S.(Pre),2019,a,"Exp) Option a is the correct answer.
The Mandasor Pillar Inscriptions or Dashpur Inscription
of Yashodharman are a set of Sanskrit inscriptions from the
early 6th-century discovered at an archacological site at the
village of Sondani, about 4 kilometres south of Mandsaur
(Mandasor) in northwestern Madhya Pradesh, India.
The Dashpur inscription reveals information about the
silk weaver’s guild that migrated from Lata (Gujarat)
to Dasapura (Mandsaur). Some of them took up other
occupations, while those who kept to their original craft
formed a guild and donated money for the temple. The
inscription states that the guild was composed of 500 families
and that they were well-versed in the art of weaving silk."
100,"in ancient period, which Varna was also called as ‘Sarthavaha’?",Brahmana,Kshatriya,Vaishya,Shudra,M.P.P.C.S.(Pre),2018,c,"Exp) Option ¢ is the correct answer.

The term ‘Sarthavaha’ was used to refer to the merchants

or traders who organized and led the caravans in ancient

India. The word ‘Sarthavaha’ means ‘caravan leader’ or ‘chief

merchant’ in Sanskrit.

The Sarthavahas belonged to the Vaishya varna, which

was one of the four social classes in the Vedic society. The

Vaishyas were engaged in agriculture, trade, commerce, and

crafts. They were considered as the third highest varna after

the Brahmanas (priests and scholars) and the Kshatriyas

(warriors and rulers). The Shudras (servants and laborers)

were the lowest varna."
101,"Match List-I with List-II and select the correct answer using the codes given below the lists:
A.Bhoj          1.Ujjain
B.Durgavati     2.Vidisha
C.Samudragupta  3.Dhar
D.Ashoka        4.Gondwana
Code: 
A B C D",4 3 2 1,3 4 1 2,4 3 1 2,3 2 4 1,MPPCS (Pre),2008,d,"Exp) Option d is the correct answer.

A. Bhoj was a king of the Paramara dynasty, who ruled
over Malwa region in central India. His capital was
Dhar, a city in present-day Madhya Pradesh. He was a
patron of art, literature and architecture, and built several
temples and monuments in his kingdom.

B. Durgawati was a queen of the Gond tribe, who ruled
over Gondwana region in central India. Her capital was
Garha-Mandla, a town in present-day Madhya Pradesh.
She was a brave and valiant ruler, who resisted the
invasion of the Mughal emperor Akbar.

C. Samudragupta was an emperor of the Gupta dynasty,
who ruled over most of northern and central India.
Vidhisha was the capital of the Western Malwa branch of
the Gupta dynasty, which was founded by Chandragupta
1, the father of Samudragupta.

D. Ashoka was an empcror of the Mauryan dynasty, who
ruled over most of South Asia and beyond. His capital
was Pataliputra, but he also had another important city
in his empire, Ujjain, which was located in present-day
Madhya Pradesh. Ashoka was appointed as the viceroy
of Ujjain by his father, when he was still a prince. He
governed the region of Avanti, which included Ujjain as
its capital."
102,Kalidasa was in the ruling period of-,Samudragupta,Ashoka,Chandragupta-I,Chandragupta-II,M.P.P.C.S (Pre),1990,d,"Exp) Option d is the correct answer,

Kalidasa was a poet and playwright who lived during the

ruling period of Chandragupta-IL, the third emperor of the

Gupta dynasty. Chandragupta-II ruled from 380 CE to 415

CE and was also known as Vikramaditya, meaning “the sun

of valour”.

Kalidasa is regarded as the greatest literary figure of India and

one of the classics of world literature. He wrote several works

of Sanskrit literature that are considered as masterpieces of
poetry, drama, and romance. Some of his famous works are

Abhijnanashakuntala (The Recognition of Shakuntala),

Raghuvamsha (The Dynasty of Raghu), Meghaduta (The

Cloud Messenger), and Kumarasambhava (The Birth of

Kumara). He also wrote works on gramnuar, rhetoric, and

astronomy. He is known for his clegant style, rich imagery,

lyrical beauty, and profound insight into human emotions
and nature.

[ Important Tips |

Impertant works of Kalidasa:

1e@ The masterpiece of Kalidas was the Sanskrit

| drama Abhijnanashakuntala (The Recognition of

i Shakuntala), which dramatizes the story of Shakuntala,

| a beautiful nymph who marries King Dushyanta and is

later separated from him by a curse.

« He wrote two other plays: Malavikagnimitra
(Malavika and Agnimitra), a comedy about the love |
affair between King Agnimitra and a maid named
Malavika.

e Vikramorvasiya (Urvashi Won by Valour), a romantic |

| tragedy about the love between King Pururavas and a |

e His twa well-known epics are Raghuvamsa (Dynasty |
of Raghu) aud Kumarasambhava (Birth of Kumara). |

‘he former narrates the history of the solar dynasty of

kings from Raghu to Agnivarna, highlighting the deeds

of Rama and his ancestors. The latter describes the
marriage of Shiva and Parvati, and the birth of their
son Kartikeya, who defeats the demon Taraka.

© Ritusamhara (The Gathering of Seasons) and

Meghaduta (The Cloud Messenger) are his two

lyrics. The former is a collection of six poems that

celebrate the beauty of nature in different seasons. The
latter is a single poem that teils the story of a yaksha |

(a supernatural being) who sends a message to his

t beloved through a cloud"
103,"Which of the following statements is/are true?

1.After weakening of power of Satavahana dynasty, Vakataka dynasty established its kingdom.
2.First king of Vakataka dynasty was Pravar Sen I.
3.Vindhya Shakti was son of Pravar Sen.

Choose the correct option:","1,2 and 3",l and 2,Only 1,None of the above,Chhattisgarh PCS (Pre),2021,c,"Exp) Option c is the correct answer,

Statement | is correct: The Vakataka dynasty succeeded the

declining Satavahana dynasty and established its rule in the

Deccan region of India.

Statement 2 is incorrect: Vindhyashakti (250-270), whose

name is taken from the deity Vindhyavasini, was the founder

of Vakataka dynasty.

Statement 2 is incorrect: Pravar Sen was the son of Vidhya

Sakti. Pravarasena 1 (270-330), the next monarch after

Vindhyashakti, kept the kingdom a strong power.

Important Tips
Vakataka Dynasty (250-500 CE):
e Overview:

° Succeeding the Satavahanas, the Vakatakas ruled
the Deccan over 2.5 centuries.

¢ Coeval with the Guptas, they embraced both
Brahmanism and Buddhism, fostering cultura]
exchange.

e The Vakataka kingdom extended from the southern |
extremities of Malwa and Gujarat in the north:

to the Tungabhadra River in the south, and
from the Arabian Sea in the west to the edges of
Chhattisgarh in the east.

¢ Important Rulers of the Vakataka Dynasty:

* Vindhyashakti (Reign: 250 ~ 270 CE): Dynasty’s
founder, revived Brahmanical rituals, military
achievements, Dvija on Ajanta inscriptions.

; © Pravarasena I (Reign: 270 - 330 CE): He took the
Samrat title and he expanded empire to north India
and Deccan. He performed Vedic rituals. |

e Rudrasena I (Reign: 340 - 365 CE): Worshipper of |

| Mahabhairava, Nandivardhana branch founder.

o © Prithvisena I (c. 365 - 390 CE): Yudhishthira-like
qualities, political alliance with Chandragupta I,

_ followed Shaivism. 7

» Narendrasena (c. 440 - 460 CE): Marriage alliance
with Kadambas, faced opposition from Nalas.

« Sarvasena (Reign: 330 - 355 CE): Renowned
Prakrit poet, Harivijaya author, Dharma-Maharaja
title.

e Vindyashakti II/Vindhyasena (c. 355 ~ 400 CE):
Extended kingdom, defeated Kadambas, patronized
art. ;"
104,"What is/are correct in reference to Udayagiri and Khandagiri caves?

1.It has both natural and artificial caves.
2.Udayagiri has 18 and Khandagiri has 15 caves.
3.Khandagiri caves are famous for Hathigumpha inscription.

Code:","1,2 and3",1 and 3,1 and 2,Only 1,Chhattisgarh PCS (Pre),2021,c,"Exp) Option c is the correct answer.
Statement 1 is correct: The Udayagiri and Khandagiri
caves constitute a complex featuring a combination of
naturally formed and artificially carved caves, These caves
were utilized as dwelling spaces by Jain monks and exhibit
intricate carvings and sculptures.
Statement 2 is correct: Udayagiri means “Sunrise Hill”
and has 18 caves while Khandagiri has 15 caves. The caves
of Udayagiri and Khandagiri, called lena or lena in the
inscriptions, these were taken out mostly during the reign of
Kharavela for the abode of Jain ascetics.
Statement 3 is incorrect: Udayagiri caves and not Khandagiri
caves are famous for Hathigumpha inscription which is
carved out in Brahmi script. It narrates the achievements of
King Kharavela of the Kalinga dynasty and provides valuable
insights into the social, political, and cultural aspects of
ancient India.

Important Tips i

Khandagiri Caves - Features:

« These caves were renovated during the reign of
Uddyotakeshari of the Somvanshi dynasty.

* Barabhuji Gumpha features Sasana Devis and
Tirthankar sculptures.

¢ Trushula Gumpha showcases Jain ‘leerthankars,
notably Rishab Dev.

e Ambika Gumpha displays Yaksha and Yakshini of
Tirthankars.

¢ Totowa Gumpha 1 and 2 are beautifully adorned, |
featuring guards, animals, and parrot-carved arches. |

« Cave 3 of Ananta Gumpha showcases sculptures of

women, elephants, athletes, and geese.
Do Khandagiri Gumpha is a two-story cave with a
rough-cut entrance.
e Lalatendu Kesari Gumpha (Caves 6-11) has reliefs
! of Jain tirthankars.
+ Cave 14, also Ekadasi Gumpha, is a basic cell.
Udayagiri Caves - Features:

+ Udayagiri, the “Hill of the Rising Sun,’ is an
underexplored Buddhist site.

¢ These rock-cut caves near Bhubaneswar were built
around the 2nd century BC by King Kharavela of
the Meghavahana dynasty.

° Originally 117, only 33 caves remain; Udayagiri has |
18 caves, while Khandagiri has 15. |
» The Udayagiri Stupa is important for studying |
Vajrayana Buddhism. |
e Notable artifacts include Buddha, Tara, Manjusri, |
Avalokitesvara, and terracotta seals.
« Jain monks occupied caves on the Kumari mountain |
range. |
« Ganesh Gumpha is famous for Jain Tirthankara and
other sculptures.
« Rani Gumpha, a double-storeyed monastery, is |
renowned for its acoustics.
* Hathigumpha has inscriptions detailing King
Kharavela’s conquests and leadership."
105,"In travel through India, Fahhien has mentioned a hospital, it was located at-",Ujjain,Kaushambi,Tamralipti,Pataliputra,Chhattisgarh P.C.S.(Pre),2019,d,"Exp) Option d is the correct answer.
Fa [lien was a Chinese Buddhist monk and traveler who
visited India between 399 and 414 CE. He was one of the
first Chinese pilgrims to record his journey to India and
bring back Buddhist scriptures and relics to China. He wrote
a travelogue called A Record of Buddhist Kingdoms, which
describes the geography, culture, religion, and society of
India and other countries he visited.
Fa Hien has mentioned a hospital at Patliputra, the capital
of the Gupta Empire, which was endowed by benevolent
citizens. Fa Hien’s account of the hospital at Patliputra is one
of the earliest records of a public health institution in ancient
India. It shows the advanced level of medical science and
social service in India during the Gupta period. He recorded
that the hospital was well-maintained and had a large number
of beds. The patients were treated free of charge.”
Important Tips
Important facts about Fa-Hien:
« Fa-Hien was a Chinese pilgrim who visited India
during the period of Chandragupta II.
e He came to India for his religious mission. He stayed
in India for about 10 years, from 399 CE to 411 CE.
He visited many pilgrimage places in India and keenly
observe many places.
» According to him, Magadha and Pataliputra were
prosperous and flourishing cities respectively.
« People were living a prosperous life and used to
practice different religions,
« Fa-Hein also mentioned the Penal code and the images
of Indian gods and goddesses on the coins here."
106,"Read the following statements:

1.Harisena was the famous poet of Samudragupta’s Court.
2.He composed the epic ‘Devichandraguptam.
3.He was also the author of ‘Prayagprashasti’.

Select the correct answer:","1, 2 and 3 are correct.",1 and 2 are correct,2 and 3 are correct,1 and 3 are correct,Chhattisgarh P.C.S.(Pre),2017,d,"Exp) Option d is the correct answer.
Statement 1 is correct: Harisena was a 4th century Sanskrit
poet of Samudragupta’s Court
Statement 2 is incorrect: Harlsena did not compose the epic
Devichandraguptam, which is a Sanskrit political drama

written by Vishakhadeva. This play is about Chandragupta

Il, the son of Samudragupta, and how he overcame the

oppression of Saka rulers and his inept brother Ramagupta

to become king of his kingdom.

Statement 3 is correct: Harisena composed the Prayag

Prashasti or the Allahabad Pillar Inscription, which

describes Samudragupta’s military conquests, his

benevolence towards other rulers, his religious tolerance,
and his personal achievements."
107,Who among the following rulers is stated as protector of “Varna system’?,Pushyamitra Sunga,Kharvela,Gautamiputra Satkarni,Vasudev,Chhattisgarh P.C.S (Pre),2013,a,"Exp) Option a is the correct answer.

The ruler stated as the protector of the ‘Varna system’ is

Pushyamitra Sunga. Pushyamitra Sunga was the founder

of the Sunga dynasty and ruled from around 185 BCE to

149 BCE. He was a staunch supporter of the orthodox

brahmanical faith and revived many ancient Vedic rituals,

including the horse sacrifice. He is also credited with
restoring the position of the Brahmins in society and
strengthening the Varna system.

| Important Tips |

| Pushyamitra Sunga (c.185 ~ c. 149 BCE)

¢ Pushyamitra Sunga served as the Brahmin army
chief under King Brihadratha, the final ruler

| of the Mauryan dynasty. In a military parade, he
assassinated Brihadratha and took control of the
throne in 185 or 186 BC.

_« Some historians view this as an internal uprising
against the last Mauryan monarch, while others
see it as a response to the Mauryan support of ;
Buddhisin.

« Pataliputra served as the capital during
Pushyamitra Sunga’s reign.

; He effectively countered invasions from Greek
rulers Menander and Demetrius.

o Pushyamitra Sunga also repelled an attack by
Kalinga’s king, Kharavela.

e The region of Vidarbha was brought under his
control.

e Following Brahminical practices, he is sometimes
depicted as persecuting Buddhists and destroying
stupas, though evidence for this is inconclusive.

* He oversaw the renovation of Stupas at Sanchi
and Barhut, and constructed a sculpted stone |

| gateway at Sanchi. ,

« Vedic rituals like Ashvamedha, Rajasuya, and ;

Vajapeya were performed during his rule.

¢ He supported the Sanskrit grammarian Patanjali.

e According to Puranic accounts, his rule extended

[ for 36 years, and he passed away in 151 BC,"
108,The Capital of Maukharri was,Thanesar,Kannauj,Purushpur,None of the above,Chhattisgarh P.C.S.(Pre),2011,b,"Exp) Option b is the correct answer.

The Maukhari dynasty was a post-Gupta dynasty that

controlled the vast plains of Ganga-Yamuna for over six

generations from their capital at Kannauj. Kannauj was
a prosperous and cosmopolitan city that later became the
capital of Harsha, the ruler of the Pushyabhuti dynasty. The
Maukhari capital is mentioned in several sources, such as
their inscriptions, their coins, the Harshacharita, and the
Aryamanjushrimulakalpa."
109,Which one of the foliowing pairs is correctly matched?,Harappan Painted Grey Civilization Ware,The Kushans Gandhara School of Art,The Mughals Ajanta Paintings,The Marathas Pahari School of Painting,Chhattisgarh P.C.S.(Pre),2008,b,"Exp) Option b is the correct answer.

Pair I is incorrectly matched: The Painted Grey Ware is
associated with the middle and later Vedic period and the
early Iron Age in northern India. Harrapan civilization is
associated with Black and red Ware.

Pair 2 is correctly matched: The Kushans were patrons
of the Gandhara School of Art. This school flourished in
the Gandhara region, encompassing parts of present-day
Afghanistan and Pakistan. It produced sculptures and reliefs
primarily focused on Buddhist themes, blending Greek
and Indian artistic elements, with iconic examples like the
Bamiyan Buddha statues.

Pair 3 is incorrectly matched: The Ajanta Paintings,
dating back to ancient India (2nd century B.C.E. to 650
C.E), primarily depict themes from Buddhist stories and
were created long before the Mughal era, by Vakatakas The
Mughal dynasty, known for its own distinct art, ruled during
the medieval period in India.

Pair 4 is incorrectly matched: The Pahari School of
Painting flourished in the hilly regions of northern India,
especially during the Rajput and later Sikh periods, whereas
the Marathas were a distinct political power in a different
geographical area."
110,"Read the following statements carefully-
1.Gupta Emperors claimed divine rights for themselves
2.Their administration was highly centralized
3.They extended the tradition of land grants.
Answer on the basis of the following codes:","1,2 and 3 are true",1 and 2 are true,1 and 3 are true,2 and 3 are true,Chhattisgarh P.C.S.(Pre),2008,c,"Exp) Option c is the correct answer.

Statement 1 is correct: The Gupta emperors adopted the
title of maharajadhiraja (king of kings) and claimed to be
the descendants of gods. They performed various rituals and
ceremonies to assert their divine authority and legitimacy.
For example, Chandragupta II performed the Ashvamedha
(horse sacrifice) to demonstrate his supremacy over other
kings.

Statement 2 is incorrect: Gupta administration was not
highly centralized, but rather based on a system of
decentralization and delegation. The empire was divided
into provinces called bhuktis, which were further subdivided
into districts called vishayas or ahara. The provinces were
governed by provincial governors called uparikas, who were
usually members of the royal family or high-ranking nobles.
Statement 3 is correct: The Gupta emperors also elaborated
the tradition of land grants, which had started during the
earlier Mauryan and Satavahana periods. ‘hey granted
land to various beneficiaries, such as Brahmins, temples,
monasteries, and officers, in return for their loyalty and
services."
111,Who among the following usurped power in Kanyakubja after the death of Harshavardhana?,Adityasena,Arunashva,Shashanka,Lalitaditya,CDS  (II),2022,b,"Exp) Option b is the correct answer.
Arunashva ruled Tirhut, Kannauj, and the surrounding area
for a brief period after Harshavardhana, who died heirless.
He usurped the throne, succeeding the Pushyabhuti dynasty.
He is known for repulsing an invasion launched by the Arab
Muslims of the Rashidun Caliphate."
112,Who among the following ancient Indian kings was praised in glowing terms in the Prayaga Prashasti?,Ashoka,Harshavardhana,Samudragupta,Bindusara,CDS,2021,c,"Exp) Option c is the correct answer.
The Prayaga Prashasti is an inscription composed by
Harisena, a court poet of Samudragupta, who was a ruler
of the Gupta Empire in ancient India. The inscription
is a eulogistic composition that praises and glorifies
the achievements and conquests of Samudragupta.
Samudragupta, was known for his military campaigns and
the expansion of the Gupta Empire. He was also known for
his patronage of art and culture, which contributed to the
golden age of Gupta civilization.
Important Tips
Some other famous inscriptions and their authors:
Inscriptions... - Authors 7 +|
Allahabad Pillar Emperor Ashoka |
Inscription
Junagadh Rock Inscription | Rudradaman | i
| Hathigumpha Inscription | King Kharavela
, Delhi Iron Pillar Chandragupta II
Inscription 7
Sanchi Inscriptions Ashoka and his successors
Mehrauli Iron Pillar Chandragupta II
,| Inscription
Maski Inscription Ashoka
Vikramashila Inscription | Dharmapala
Aihole Inscription Pulakeshin I]
Hathibada Copper Plate Skandagupta
| Inscription _ - ;"
113,Which one of the following statements about the Gupta period in Indian history is not correct?,"Sanskrit language and literature, after centuries of evolution, reached what has been described as a Jevel of classical excellence through royal patronage.","The status of women was redefined. They were entitled to formal education and hence there were women teachers, philosophers and doctors.Early marriage was prohibited by law and they were given the right to property",Decentralisation of administrative authority was impacted by increased grants of land and villages with fiscal and administrative immunities to priests and temples,"Land grants paved the way for feudal developments and emergence of selfdom in India, resulting in the depression of the peasantry",CDS,2017,b,"Exp) Option b is the correct answer.
During the Gupta Empire period, the condition of women
gradually declined, leading to their subordination within
the society. Women were assigned a secondary position
and were expected to obey their father before marriage,
their husband after marriage, and their son in later life.
While education was valued during this era, women faced
limitations and were not allowed to study sacred texts or
participate in rituals. Furthermore, women did not have the
right to property. It is important to note that despite these
constraints on women, the Gupta Empire was recognized
as the Golden Age of India in fields such as science,
mathematics, astronomy, religion, and philosophy,"
