Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
110, <p>Match List I with List II and select the correct answer using the codes given below the lists : </p><p>List I                                                                     List II </p><p>(Indian Wildlife Species)                           (Scientific Names) </p><p>A. Asiatic Wild Ass                                 1. Boselaphus tragocamelus </p><p>B. Barasingha                                         2. Cervus duvauceli </p><p>C. Chinkara                                             3. Equus hemionus </p><p>D. Nilgai                                                  4. Gazella gazelle </p><p>     A B  C  D                                A  B  C   D</p>,(a)  2  3  1  4,(b)  3  2  4  1,(c)  2  3  4  1,(d)  3  2  1  4,Science and Technology,c,Difficult,tFundamental(F),"A – 2, B – 3, C – 4, D – 1"
111," <p>When one gene controls two or more different characters simultaneously, the phenomenon is called</p>",(a)  Apomixis,(b)  Pleiotropy,(c)  Polyploidy,(d)  Polyteny,Basic Sciences,b,Difficult,tFundamental(F),"Pleiotropy: One gene controls two or more different character simultaneously.
 Apomixis: Seed formation without fertilization, i.e. without the union of male and female gamets.
 Polyploidy: Presence of more than two sets of chromosomes unlike in Diploids (2 sets of chromosomes present).
 Polyteny: Multistranded or polytene chromosome is a giant chromosome present in salivary glands of insects, composed of thousands of copies of DNA parallel to one another due to the process of endomitosis or endoreduplication."
112," <p>With reference to the human body, consider the following statements :</p><p>1. The production of somatotropic goes up when a person exercises.</p><p>2. Men’s testes produce progesterone.</p><p>3. Women’s adrenal glands secrete testosterone.</p><p>4. Stress causes the adrenals to release very less amount of cortisol than usual.</p><p>Which of these statements are correct ?</p>","(a)  1, 2, 3 and 4","(b)  1, 2 and 3","(c)  2, 3 and 4",(d)  1 and 4,Science and Technology,d,Difficult,tApplied(A),"‘Somatotropin’ is a growth hormone, the production of this hormone goes up when a person exercises. It helps in shaping of muscles and growth.
 Men’s testes produce Testosterone while female’s ovary produces Estrogen and Progesterone.
 Women’s adrenal glands scretes steroids, mineralocorticoids and glucocorticoids.
 During physical and mental (emotional) stress sympathetic nerves and adrenal medulla produces less amount of cortisols than usual."
113, <p>Which one of the following is monogamous ?</p>,(a)  Wolf,(b)  Walrus,(c)  Seal,(d)  Deer,Basic Sciences,a,Difficult,tFundamental(F),"Wolf if monogamous which maintains single rate for sexual intercourse.
 Polygamous: Having more than one mate at a time like Deer, Cattle, Walrus, Seal etc."
114," <p>With reference to Indian satellites and their launchers, consider the following statements:</p><p>1. All the INSAT-series of satellites were launched abroad.</p><p>2. PSLVs were used to launch IRS-series of satellites.</p><p>3. India used the indigenously built cryogenic engines for the first time for powering the third stage of G S LV.</p><p>4. GSAT, launched in the year 2001, has payloads to demonstrate digital broadcasts and internet services.</p><p>Which of these statements are correct ?</p>","(a)  1, 2, 3 and 4","(b)  2, 3 and 4","(c)  1, 2 and 4",(d)  1 and 3,Science and Technology,c,Difficult,tFundamental(F),"India used imported cryogenic engines from Russia. The Indian National Satellite (INSAT) System is multi-agency, multipurpose operational satellite system for domestic, telecommunications, meteorological observations and data relay, Nation-wide direct satellite T.V. broadcasting and nationwide radio and T.V. programme distribution. The Geostationary satellite services in India were commissioned in 1983 with the launch of INSAT – 1B."
115," <p>With reference to the latest developments in stem cell research, consider the following statements:</p><p>1. The only source of human stem cells are the embryos at blastocyst stage.</p><p>2. The stem cells can be derived without causing destruction to blastocysts.</p><p>3. The stem cells can regenerate themselves in vitro virtually forever.</p><p>4. Indian research centres also created a few cell line which can be developed into many types of tissues.</p><p>Which of these statements are correct ?</p>","(a)  1, 2, 3 and 4","(b)  1, 2 and 3","(c)  1, 2 and 4",(d)  3 and 4,Science and Technology,d,Medium,Fundamental(F),"Stem cells are undifferentiated cells which are pluripotent in nature with a capacity to differentiate into different kinds of specialized cells. These are of 2 types: (1) Embryonic stem cell and (2) Adult/Somatic stem cell.
 The embryonic stem cells are taken from blastocyst (&lt; 14 days old) which is an embryo, removed from the womb or brought from the fertility clinic which destroy the life of human being. The Adult/Somatic stem cells are derived from adult somatic/body tissues, ex. Bone marrow, umbilical chord etc."
116," <p>In the year 2001, NASA launched a spacecraft to Mars named</p>",(a)  Mars Climate Orbiter,(b)  Mars Global Surveyer,(c)  Mars Odyssey,(d)  Mars Polar Lander,Science and Technology,c,Easy,Fundamental(F),
117," <p>Assume that the moon takes exactly 30 days to complete the cycle and also assume that it rises in the East exactly at 6.48 p.m. on the first day. On the fourth day, at what time will it rise ?</p>",(a)  8.24 p.m.,(b)  9.12 p.m.,(c)  10.00 p.m.,(d)  11.48 p.m.,gs_unclassified,b,Medium,Applied(A),
118," <p>A solid cube just gets completely immersed in water when a 0.2 kg mass is placed on it. If the mass is removed, the cube is 2 cm above the water level. What is the length of each side of the cube ?</p>",(a)  12 cm,(b)  10 cm,(c)  8 cm,(d)  6 cm,gs_unclassified,b,Medium,Applied(A),
119," <p>A trader fixed the price of an article in such a way that by giving a rebate of 10% on the price fixed he made a profit of 15%. If the cost of the article is Rs. 72, the price fixed on it is</p>",(a)  Rs. 82.80,(b)  Rs. 90.00,(c)  Rs. 92.00,(d)  Rs. 97.80,gs_unclassified,c,Medium,Applied(A),
120," <p>Consider the volumes of the following:</p><p>1. A parallelepiped of length 5 cm, breads 3 cm and height 4 cm.</p><p>2. A cube of each side 4 cm.</p><p>3. A cylinder of radius 3 cm and length 3 cm.</p><p>4. A sphere of radius 3 cm. </p><p>The volumes of these in the decreasing order is.</p>","(a)  1, 3, 2, 4","(b)  4, 2, 3, 1","(c)  1, 2, 3, 4","(d)  4, 3, 2, 1",gs_unclassified,d,Medium,Applied(A),
121," <p>A train of length 150 metres, moving at a speed of 90 km/hr can cross a 200 metre bridge in</p>",(a)  8 seconds,(b)  14 seconds,(c)  6 seconds,(d)  15 seconds,gs_unclassified,b,Medium,Applied(A),
122, <p>Two ladies simultaneously leave cities A and B connected by a straight road and travel towards each other. The first lady travels 2 km/hr faster than the second lady and reaches B one hour before the second lady reaches A. The two cities A and B are 24 km apart. How many kilometers does each lady travel in one hour ?</p>,"(a)  5 km, 3 km","(b)  7 km, 5 km","(c)  8 km, 6 km","(d)  16 km, 14 km",gs_unclassified,c,Difficult,tApplied(A),
123," <p>Amit started a business by investing Rs. 30,000. Rahul joined the business after some time and invested Rs. 20,000. At the end of the year, profit was divided in the ratio of 2:1. After how many months did Rahul join the Business ?</p>",(a)  2,(b)  3,(c)  4,(d)  5,gs_unclassified,b,Difficult,tApplied(A),
124," <p>The age of a man is three times the sum of the ages of his two sons. Five years hence, his age will be double of the sum of the ages of his sons. The father’s present age is</p><p> </p>",(a)  40 years,(b)  45 years,(c)  50 years,(d)  55 years,gs_unclassified,b,Easy,Applied(A),
125, <p>The length of the longest pole than can be placed in a room 12 m long and 9 m wide and 8 m high is</p>,(a)  12 m,(b)  14 m,(c)  17 m,(d)  21 m,gs_unclassified,c,Easy,Applied(A),
126," <p>In a company, 60% of the employees are men. Of these 40% are drawing more than Rs. 50,000 per year. If 36% of the total employees of the company draw more than Rs. 50,000 per year, what is the percentage among women who are drawing less than Rs. 50,000 per year ?</p>",(a)  70,(b)  60,(c)  40,(d)  30,gs_unclassified,a,Medium,Applied(A),
127, <p>A bus is moving with a speed of 30 km/hr ahead of a car with a speed of 50 km/hr. How many kilometers apart are they if it takes 15 minutes for the car to catch up with the bus ?</p>,(a)  5 km,(b)  7.5 km,(c)  12.5 km,(d)  15 km,gs_unclassified,a,Medium,Applied(A),
128, <p>Match List I (Commission) with List II (Matter of Enquiry) and select the correct answer using the codes given below the lists: </p><p><strong>           List I  </strong>                                          <strong> List II </strong></p><p>A. Wadhwa Commission         1. The assassination of Rajiv Gandhi </p><p>B. Liberhan Commission         2. Killing of Graham Staines</p><p> C. Sri Krishna Commission      3. Demolition of a religious structure at Ayodhya </p><p>D. Jain Commission                  4. Riots in Mumbai in 1993 </p><p>    <strong> A B C D      </strong>                               <strong> A B C D</strong></p>,(a)  3 2 4 1,(b)  3 2 1 4,(c)  2 3 4 1,(d)  2 3 1 4,Current Affairs,b,Difficult,tFundamental(F),"A – 2, B – 3, C – 4, D – 1"
129, <p>A World Summit with representation from all the countries will be held in Johannesburg in September 2002 on the subject of</p>,(a)  AIDS control,(b)  Global terrorism,(c)  Human rights,(d)  Sustainable development,Ecology and Environment,d,Medium,Fundamental(F),
130, <p>Match List I with List II and select the correct answer using the codes given below the lists:</p><p><strong> List I (Country)                List II (President) </strong></p><p>A. Congo.                    1. Levy Mwanawasa </p><p>B. Nigeria.                   2. Joseph Kabila </p><p>C. Uganda.                  3. Olusegum Obasanjo </p><p>D. Zambia.                  4. Yoweri Museveni</p><p>      <strong>A B C D                                  A B C D</strong></p>,(a)  2 3 4 1,(b)  3 2 1 4,(c)  2 3 1 4,(d)  3 2 4 1,International Affairs and Institutions,a,Difficult,tFundamental(F),"A – 2, B – 3, C – 4, D – 1"
131, <p>Who among the following won the men’s singles title at the World Badminton Championship in the year 2001 ?</p>,(a)  Gopichand,(b)  Hendrawan,(c)  Ji Xin Peng,(d)  Peter Gade,Current Affairs,b,Medium,Fundamental(F),
132, <p>Who among the following set a new national record in the women’s Pole-vault event in the 7th edition of Senior Federation Cup help in Karnataka in the year 2001?</p><p> </p>,(a)  G.G. Pramila,(b)  Jyothna Deka,(c)  Karamjeet Kaur,(d)  Manisha Dey,Current Affairs,c,Medium,Fundamental(F),
133, <p>The main reason for unrest and violence in Zimbabwe in recent years is due to</p>,(a)  Conflict between different native ethnic groups,(b)  Prolonged crisis over land reforms,(c)  Economic crisis due to continuous drought and famine,(d)  Power struggle between political group of white European settlers and native black community,International Affairs and Institutions,b,Easy,Fundamental(F),The main reason for unrest and violence in Zimbabwe in recent years is due to prolonged crisis over land reforms.
134, <p>Which country among the following has been involved in two ties in Test cricket ?</p>,(a)  Australia,(b)  India,(c)  West Indies,(d)  England,gs_unclassified,a,Medium,Fundamental(F),Australia was been involved in two ties in Test Cricket.
135, <p>Match List I with List II and select the correct answer using the codes given below the lists : </p><p>      List I                                                                                                  List II</p><p> (Organisation)                                                                                  (Headquarters) </p><p>A. International Atomic Energy Agency.                                            1. Brussels </p><p>B. International Telecommunication Union.                                      2. Geneva </p><p>C. Council of the European Union.                                                       3. Paris </p><p>D. Organization for Economic Cooperation and Development.       4. Vienna</p><p>     A  B  C  D                                        A  B  C  D</p>,(a)  1  2  4  3,(b)  4  3  1  2,(c)  1  3  4  2,(d)  4  2 1 3,International Affairs and Institutions,d,Difficult,tFundamental(F),"A – 4, B – 2, C – 1, D – 3"
136, <p>Match List I with List II and select the correct answer using the codes given below the lists : </p><p>     List I                                                                                   List II</p><p>   (Book)                                                                               (Author) </p><p>A. Autobiography on Unknown Indian                     1. Mulk Raj Anand </p><p>B. India: A Wounded Civilization                               2. Nirad </p><p>C. Chaudhuri C. Confessions of a Lover                    3. R.K. Narayan </p><p>D. The English Teacher                                                 4. V.S. Naipaul </p><p>     A  B  C  D                                     A  B  C  D</p>,(a)  1  3  2  4,(b)  2  4  1  3,(c)  1  4  2  3,(d)  2  3  1  4,Current Affairs,b,Difficult,tFundamental(F),"A – 2, B – 4, C – 1, D – 3"
137, <p>Consider the following names :</p><p>1. Archbishop Desmond Tutu</p><p>2. Lech Walesa</p><p>3. Shimon Peres</p><p>4. Yasser Arafat </p><p>Who among these won the Nobel Peace Prize ?</p>,(a)  1 and 2,"(b)  1, 3 and 4","(c)  2, 3 and 4","(d)  1, 2, 3 and 4",International Affairs and Institutions,d,Difficult,tFundamental(F),
138, <p>Match List I with List II and select the correct answer using the codes given below the lists :</p><p>List I                                                              List II </p><p>   (Name of the lady)                                 (Achievement) </p><p>A. Chinna Pillai                                  1. Winner of Neerja Bhanot Award </p><p>B. Kaverio Thakur                             2. Recipient of Stree Shakti Puraskar </p><p>C. Mira Nair                                       3. Became the fastest swimmer in Asia at the age of 16 years </p><p>D. Yasoda Ekambaram                     4. Recipient of the Golden Lion at Venice Film festival</p><p>    A  B  C  D</p>,(a)  3  2  1  4,(b)  2  3  4  1,(c)  3  2  4  1,(d)  2  3  1  4,gs_unclassified,b,Medium,Fundamental(F),"A – 2, B – 3, C – 4, D – 1"
139, <p>Consider the following countries:</p><p> 1. Angola.</p><p> 2. Colombia.</p><p> 3. Congo.</p><p> 4. Sudan.</p><p> Which of these countries has/have been suffering from civil war?</p><p> </p>,(a)  1 only,(b)  2 and 3,(c)  4 only,"(d)  1, 2, 3 and 4",International Affairs and Institutions,c,Medium,Fundamental(F),
140," <p>Recently, several hundred South African soldiers were sent to Burundi.</p>",(a)  To side with Tutsi tribe in the country’s civil war,(b)  To side with the Hutu tribe in the ongoing ethnic conflict,(c)  As a part of United Nations special force to keep control on the ethnic groups revolting against the government,(d)  As South Africa’s protection force to help mediate an agreement between warring groups of civil war,International Affairs and Institutions,c,Medium,Fundamental(F),
141, <p>The Asia-Pacific Economic Co-operation Forum was held in the year 2001 in.</p><p> </p>,(a)  Bangkok,(b)  Hongkong,(c)  Jakarta,(d)  Shanghai,Current Affairs,d,Easy,Fundamental(F),The Asia-Pacific Economic Co-operation Forum was held in the year 2001 in Shanghai.
142," <p>In the year 2001, Germany approved a $ 32 million credit to India.</p>",(a)  To promote primary education in selected states,(b)  For Tehri dam project,(c)  To assist in the development of nuclear power generation projects,(d)  For oceanographic research,Current Affairs,d,Medium,Fundamental(F),"In 2001, Germany approved a $ 32 million credit to India for oceanographic research."
143," <p>Who among the following won six gold medals in the 9th FINA – World Swimming Championship held in Fukuoka, Japan in the year 2001 ?</p>",(a)  Grant Hackett,(b)  Ian Thorpe,(c)  Michael Phelps,(d)  Roman Sloudnow,Current Affairs,b,Medium,Fundamental(F),
144," <p>In the year 2001, India offered a grant of five million dollars to Tajikistan to.</p>",(a)  Tackle the drought situation,(b)  Set up a Software Technology Park,(c)  Promote mineral exploration,(d)  Procure defence equipment,India and World,c,Easy,Fundamental(F),India gave this grant to Tajikistan to promote mineral exploration.
145, <p>Who was the first Indian lady actress to receive the Padma Shri Award ?</p>,(a)  Smita Patil,(b)  Nargis Dutt,(c)  Meena Kumari,(d)  Madhubala,Indian Art and Culture,b,Medium,Fundamental(F),Nargis Dutt was the first Indian lady actress to receive the Padma Shri Award.
146," <p>In the year 2001, in which one of the following events of ‘Women’s Singles did Venus Williams defeat Serena Williams to win the title ?</p>",(a)  Australia Open 2001,(b)  French Open 2001,(c)  Wimbledon 2001,(d)  US Open 2001,Current Affairs,d,Medium,Fundamental(F),
