q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
98,"The Supreme Court has held that hoisting
the National Flag atop the private buildings
is a fundamental right of every citizen
under:",of the Constitution,Article 19 (1),Article 21 of the Constitution,"Article 25 of the Constitution
(e) None of the above/More than one of the
above",60 to 62° B.B.S.C. (Pre),2016.0,b,"Exp) Option b is the correct answer.

Hoisting the National Flag atop the private buildings
is a fundamental right of every citizen under Article 19
(1) (a) of the Constitution, which guarantees the right to
freedom of speech and expression. This right includes the
right to express one’s views and opinions through any mode
of communication, such as words, signs, symbols, gestures,
pictures, etc. It also includes the right to receive information
from any source and disseminate it to others.
However, hoisting the National Flag is not explicitly
mentioned or specially provided in Article 19 (1) (a) of
the Constitution. It is implied or derived from the wider
freedom of expression guaranteed by this article. The
Supreme Court has interpreted this article to include the
freedom of press as an integral part of the freedom of speech
and expression"
99,"Which of the following rights conferred by
the Constitution of India is also available to
non-citizens?",Right to Constitutional Remedies,Freedom of Speech,"Freedom to Move and Settle in any Part
of the Country",Freedom to Acquire Property,53rd to 55th B.B.S.C. (Pre),2011.0,a,"Exp) Option a is the correct answer.
The right under Article 32 is available to anyone whose
rights are being violated, not just citizens — the distinction
is important because, for instance, while the right to freedom
of speech in Article 19(1)(a) is provided to citizens, the right
to life and personal liberty is guaranteed to all persons in
India.
The right of a foreign national (i.e. a natural person)
to file a writ petition to enforce the fundamental rights
guaranteed to him by the Constitution of India, was upheld
by the apex Court in the case of Louis De Raedt vs. Union
of India wherein, a petition was filed to enforce Article 21 of
the Constitution."
100,"According to which Article National
Emergency may be declared by the president
of India?",Article 352,Article 370,Article 371,Article 395,53rd to 55th B.P.S.C. (Pre),2011.0,a,"Exp) Option a is the correct answer
Under Article 352, the president can declare a national
emergency when the security of India or a part of it is
threatened by war or external aggression or armed rebellion.
The President can declare a national emergency even before
the actual occurrence of war or armed rebellion or external
aggression
Important Tipss
e Article 370 of the Indian constitution is an article that
granted special autonomous status to the state of Jammu
and Kashmir. On 5 August 2019, the government of
India revoked the special constitutional status of the |
erstwhile state of Jammu and Kashmir under Article
370 of the Constitution, |
e Under Article 371, the President is authorised to
provide that the Governor of Maharashtra and that |
of Gujarat would have special responsibility for: The |
establishment of separate development boards for
Vidarbha, Marathwada and the rest of Maharashtra, |
Saurashtra, Kutch and the rest of Gujarat.

« Article 395 repeals the Indian Independence Act, |
| 1947, and the Government of India Act, 1935, but not |
| including the Abolition of Privy Council Jurisdiction

Act, 1949., |"
101,"Which of the following is given the power
to enforce the Fundamental Rights by the
Constitution?",All Courts in India,The Parliament,The President,The Supreme Court and High Courts,47 B.P.S.C. (Pre),2005.0,d,"Exp) Option d is the correct answer.
According to the Constitution of India, the Supreme Court
and High Courts are given the power to enforce the
Fundamental Rights by the Constitution. Article 32 of the
Constitution grants the right to remedies for the enforcement
of the fundamental rights of a citizen of India who has
suffered. This makes the fundamental rights enforceable in
the court of law. The aggrieved party can directly move to
the Supreme Court or the High Court for the protection of
their rights."
102,"Which of the following Constitutional
Amendment Acts was termed as Mini
Constitution?",42nd,44th,46th,50th,47th B.P.S.C. (Pre),2005.0,a,"Exp) Option a is the correct answer.
The 42nd Constitutional Amendment Act of 1976 is
often referred to as the “Mini Constitution” because of its
extensive scope and significant changes to various parts of
the Indian Constitution. It was passed during the period of
the Emergency and introduced numerous amendments that
aimed to strengthen tbe position of the government and
centralize power.
| Important Tipss
Features of 42nd Constitutional Amendment Act:
¢ It added the words socialist, secular and integrity to
the Preamble of the Constitution.
e It laid down the Fundamental Duties of Indian
citizens in a new Part IV-A of the Constitution.
e It extended the term of the Lok Sabha and the state
legislative assemblies from five to six years.
+ It transferred five subjects from the state list to the
| concurrent list, namely education, forests, weights and
| measures, protection of wild animals and birds, and
| administration of justice.
¢ It curtailed the power of the Supreme Court and the
| High Courts to review the constitutional validity of
| laws and gave more power to the Parliament to amend
the Constitution.
| * It changed the relationship between the Centre and |
the states by giving more authority to the Centre in
matters of deployment of armed forces, property taxes, |
elections, inter-state trade and commerce, etc.
i
* It gave more power to the Prime Minister's Office and |
reduced the role of the President and the Governors
to mere formal heads _ i"
103,"Which Article of the Constitution gives
precedence to Constitutional provisions
over the laws made by the Union Parliament/
State Legislatures?",13,32,245,326,"45 B.P.S.C, (Pre)",2001.0,a,"Exp) Option a is the correct answer,
Article 13 of the Constitution of India describes the means
for judicial review. It states that all laws in force in the
territory of India immediately before the commencement
of this Constitution, in so far as they are inconsistent with
the provisions of this Part (Part II), shall, to the extent of
such inconsistency, be void. It also states that the State shall
not make any law which takes away or abridges the rights
conferred by this Part and any law made in contravention of

this clause shall, to the extent of the contravention, be void.
It also defines law and laws in force for the purpose of this
article. It also provides that nothing in this article shall apply
to any amendment of this Constitution made under Article
368.
Article 13 of the Constitution gives precedence to
constitutional provisicns over the laws made by the
Union Parliament/State Legislatures because it declares
that any law that is inconsistent with or derogates from
the fundamental rights (Part III) shall be null and void. It
also empowers the courts to strike down any such law that
violates or infringes the fundamental rights."
104,"Mainly on whose advice is the President’s
Rule imposed in the State?",Chief Minister,Legislative Assembly,Governor,Chief Justice of High Court,45th B.P.S.C. (Pre),1997.0,c,"Exp) Option c is the correct answer
The President of India imposes President's rule in any state on
the recommendation of the Governor of the concerned state.
President’s rule means the suspension of state government
and the direct rule of the center, Presidential rule or state
emergency can be imposed in any state under Art 356 of the
constitution of India.
linportant Tipss
® The proclamation of the presidential rule shall be
approved by the Parliament within two months from
the date of its issue by a simple majority.
e After the proclamation of Presidential rule, state
assembly get dissolved.
e his article was used for the first time in the state of
Punjab."
105,"Which of the following statement is correct
regarding Article 368 of the Constitution of
India?
(i) Article 368 was amended by the 24""
Constitution Amendment Act, 1971.
(ii) Article 368 was amended by the 101°
Constitution Amendment Act, 2016.
Codes: (M.P.P.C.S. (Pre) 2020]",(i) is true and (ii) is false,(i) is false and (ii) is true,Both (i) and (ii) are true,Both (i) and (ii) are false,,,c,"Exp) Option c is the correct answer.
Statement Lis correct: Article 368 was amended by the 24th
Constitution Amendment Act, 1971 to affirm the power of
Parliament to amend any part of the Constitution and to
make it mandatory for the President to give assent to any
Constitutional Amendment Bill.
Statement I] is correct: Article 368 was also amended by the 101st
Constitution Amendment Act, 2016 to introduce a new clause
(2A) that provides tor ratification by at least half of the State
Legislatures for amendments related io Goods and Services ‘lax
(GST)."
106,"When was the special rights and privy
purse enjoyed by the Indian Princely States
abolished?",1950,1949,1962,1971,M.P.P.C.S. (Pre),2020.0,d,"Exp) Option d is the correct answer.
The special rights and privy purse enjoyed by the Indian
Princely States were abolished in 1971 by the 26th
Amendment of the Indian Constitution.
i Important Tipss |
| ¢ The privy purse was a specific amount of money that
was paid annually by the Indian government to the |
rulers of princely states and their successors who had
acceded to India in 1947 and 1949. |
e The amount of privy purse was determined by many factors
like state’s revenue, state's status under British rule, etc."
107,"Article 24 of the Constitution of India
prohibits the employment of child in
factories related to hazardous works. Such
prohibition is",Absolute prohibition,Partial prohibition,Reasonable prohibition,Moral prohibition,M.P.P.C.S. (Pre),2020.0,a,"Exp) Option a is the correct answer.
Article 24 of the Constitution of India is a fundamental
right that prohibits the employment of children below the
age of fourteen years in any factory, mine, or any other
hazardous occupation. The article aims to protect the health
and education of children and to prevent their exploitation.
The prohibition of child labour under Article 24 is absolute
and unconditional. It means that no child below the age
of fourteen years can be employed in any factory, mine, or
any other hazardous occupation, irrespective of the nature,
duration, or condition of work. The Supreme Court of India
has upheld the absolute prohibition of child labour under
Article 24 and has issued various directions and guidelines
to ensure its effective implementation."
108,"The scope of the Article 21 of the
Constitution was expanded to include
Right to Education, because of the decision
of Supreme Court in the case",Unnikrishnan v/s Andhra Pradesh,Govind v/s State of Madhya Pradesh,Parmanand Katara v/s Union of India,Chameli Singh v/s State of Uttar Pradesh,M.P.P.C.S. (Pre),2019.0,a,"Exp) Option a is the correct answer.
The Supreme Court of India has expanded the scope of
Article 21 to include the right to education as a part of the
right to life and personal liberty. The landmark case that
initiated this expansion was Unnikrishnan v/s Audhra
Pradesh (1993). In this case, the Supreme Court held that the
right to education is implicit in the right to life, as education
is essential for the development of human personality and
potential. The Supreme Court also held that the right to
education is a fundamental right for children up to the age of
14 years, as it is enshrined in Article 45 of the Constitution,
which is a directive principle of state policy.
Important Tipss
« Govind v/s State of Madhya Pradesh (1975) is a case
that expanded the scope of Article 21 to include the
right to privacy.
¢ Parmanand Katara v/s Union of India (1989) is a case
that expanded the scope of Article 21 to include the
right to medical aid.
e¢ Chameli Singh v/s State of Uttar Pradesh (1996) is a
case that expanded the scope of Article 21 to include
the right to shelter."
109,"When were the Fundamental Duties
mentioned in the Constitution?",At the time of framing of Constitution,On 26th January 1950,In the 42nd Constitutional Amendment,In the 41st Constitutional Amendment,M.P.P.C.S. (Pre),2017.0,c,"Exp) Option c is the correct answer.
The Fundamental Duties of citizens were added to the
Constitution by the 42nd Amendment in 1976, upon the
recommendations of the Swaran Singh Committee that was
constituted by the government earlier that year. Fundamental
Duties help to regulate the behaviour of the citizens and to
bring about excellence in all the spheres of the citizens. The
42nd Amendment also made various other changes to the
Constitution, such as adding the terms socialist, secular
and integrity to the Preamble, curtailing the power of the
Supreme Court and High Courts, and giving more power
to the Prime Minister"
110,The ‘Directive Principles’ are,Justifiable,Non-justifiable,Rigid,Flexible,M.P.P.C.S. (Pre),2013.0,b,"Exp) Option b is the correct answer.

The Directive Principles are non-justiciable in nature, that
is, they are not legally enforceable by the courts for their
violation, Therefore, the government (Central, state and
local) cannot be compelled to implement them,"
111,"Consider the following:

Statement: Constitution of India is basically

Federal in nature.

Reason: Article 352 has provisions to deal

with the failure of constitutional machinery

in a state.

Code:  (Pre) 2008]","Statement and Reason both are correct,
and the Statement is the correct
explanation of the reason.","Statement and Reason both are correct,
but the statement is not the correct
explanation of reason.","The statement is correct, but Reason is
false.","The statement is false, but Reason is
correct.",M.P.P.C.S.,,c,"Exp) Option c is the correct answer

The Indian constitution is both federal and unitary in nature,
as it is a combination of federal and unitary features, Under
Article 352, the president can declare a national emergency
on the basis of war, external aggression or armed rebellion.
According to Article 356, President’s Rule can be imposed
on any state of India on the grounds of the failure of the
constitutional machinery."
112,"By which of the following case Parliament
got the right to amend Fundamental Rights?",Keshvananda Bharati Case,Rajnarayan Vs. Indira Gandhi Case,Golaknath’s Case,Sajjan Singh Case,M.P.P.C.S. (Pre),1991.0,a,"Exp) Option a is the correct answer.

The case that gave Parliament the right to amend fundamental
rights was the Kesavananda Bharati Case of 1973. In this landmark
judgment, the Supreme Court propounded the doctrine of basic
structure, which holds that there is a basic structure or essential
features of the Constitution that cannot be altered or destroyed by
any amendment. The court held that Parliament has the power to
amend any part of the Constitution, including the fundamental
rights, but it cannot violate the basic structure. The court overruled
the previous decision of Golaknath Case of 1967, which had held
that Parliament cannot amend the fundamental rights at all."
113,"Identify the correct pair mentioning the
Directive Principles of State Policy in the
Constitution of India-","Equal justice and free legal} Article
aid 42","Organization of agriculture | Article
and animal husbandry 43 __","That there is equal pay for Article
equal work for both men and | 39
women",,R.A.S./R.T.S. (Pre),2021.0,d,"Exp) Option d is the correct answer.

The correct Pairs are:

(a) Organization of Article 39 A (not Article 42)
agriculture and animal
husbandry

(b) Organization of village | Article 48 (not Article 43)
Panchayat

(c) Organization of village | Article 40 (not Article 41)
Panchayat .

(d) There is equal pay for Article 39
equal work for both
men and women

Important Tipss

Other Articles given in the question:

Article 41:

« To secure the right to work, to education and to public
assistance in cases of unemployment, old age, sickness
and disablement

Article 42:

« To make provision for just and humane conditions of
work and maternity relief.

Article 43:

« ‘To secure a living wage, a decent standard of life and
social and cultural opportunities for all workers."
114,"Fundamental Duties were incorporated in
the Constitution on the recommendation of",Swaran Singh Committee,Shah Commission,Administrative Reforms Commission,Santhanam Committee,R.A.S./R.T.S. (Pre),2021.0,a,".

Exp) Option a is the correct answer.

The Swaran Singh Committee was set up by the Congress

government in 1976 to make recommendations about

fundamental duties, the need and necessity of which was felt

during the operation of the internal emergency (1975-1977).

The committee recommended the inclusion of a chapter on

fundamental duties in the Constitution. It stressed that the

citizens should become conscious that in addition to the
enjoyment of rights, they also have certain duties to perform
as well.

Important Tipss

« Shah Commission: The Shah Commission, officially
known as the Commission of Inquiry into the Affairs
of the Indian National Congress, was established
in 1977 to investigate allegations of corruption and
malpractices by the government during the period of
the state of emergency in India from 1975 to 1977.

¢ Administrative Reforms Commission: The
Administrative Reforms Commission (ARC) is a
committee set up by the government of India to
recommend measures to improve the efficiency and
effectiveness of the public administration system.

e Santhanam Committee: The Santhanam Committee,
officially known as the Committee on Prevention of
Corruption, was appointed in 1962 to investigate and
suggest measures to combat corruption in India."
115,"Select the correct chronological order of
the following judgements dealing with
Fundamental Rights:

(A) Golaknath v/s State of Punjab
(B) Keshvananda Bharati v/s State of Kerala
(C) Minerva Mills v/s Union of India
(D) A.K Gopalan v/s State of Madras
Select the correct answer:","(D), (B), (C), (A)","(A), (B), (C), (D)","(D), (A), (B), (C)","(D), (C), (B), (A)",R.A.S/R.T.S. (Pre),2018.0,c,"Exp) Option c is the correct answer.

The correct chronological order of the judgements dealing

with Fundamental Rights is:

(D)A.K Gopalan v/s State of Madras (1956) - This case
dealt with the validity of preventive detention and the
scope of Article 21 of the Constitution. The Supreme
Court held that the Fundamental Rights are not absolute
and can be restricted by law. It also held that each
Fundamental Right is separate and distinct, and there is
no inter-relationship between them.

(A)Golaknath v/s State of Punjab (1967) - This case
dealt with the power of Parliament to amend the
Fundamental Rights. The Supreme Court overruled
its previous decisions and held that Parliament cannot
amend the Fundamental Rights, as they are sacrosanct
and transcendental. It also held that Article 368 only lays
down the procedure for amendment, and any amendment
is a law under Article 13, which cannot abridge or take
away the Fundamental Rights.

(B) Keshvananda Bharati v/s State of Kerala (1973) - This
case dealt with the validity of the 24th, 25th and 29th
Amendment Acts, which curtailed the Fundamental
Rights relating to property and introduced the doctrine
of basic structure. The Supreme Court overruled
the Golaknath case and upheld the validity of these
amendments. It held that Parliament has the power

to amend any part of the Constitution, including the
Fundamental Rights, but it cannot alter or destroy the
basic structure or essential features of the Constitution.

(C) Minerva Mills v/s Union of India (1980) - This case
dealt with the validity of the 42nd Amendment Act,
which inserted two clauses in Article 368, giving power
to Parliament to amend any part of the Constitution,
including the basic structure, and making such
amendments immune from judicial review. The Supreme
Court struck down these clauses as unconstitutional and
violative of the basic structure. It reaffirmed the doctrine
of basic structure and held that there is a harmony
and balance between the Fundamental Rights and the
Directive Principles, which constitute the core of the
basic structure."
116,"Under the provisions of the Article 368
(2) of the Constitution of India, if a bill
comes to Rajasthan Legislative Assembly
after passing by parliament of India for
resolution to rectify, then-

1. Resolution can be passed by Assembly.

2. Resolution can be rejected by Assembly.

3. No Amendment shall be proposed to
such a resolution

Select the correct answer using code given

below:",1 only,2 and 3,1 and 3,"1,2 and 3",R.A.S./R.T.S. (Pre),2018.0,d,"Exp) Option d is the correct answer.

Article 368 (2) of the Constitution of India states that some

amendments also require the ratification by not less than

half of the states by resolution passed by their legislatures
before they are presented to the President for assent.

If a bill comes to Rajasthan Legislative Assembly after

passing by Parliament of India for resolution to ratify such

an amendment, then:

« Resolution can be passed by Assembly. This is true, as
the Assembly has the power to ratify the amendment by a
simple majority of members present and voting.

¢ Resolution can be rejected by Assembly. This is true, as
the Assembly has the power to reject the amendment bya
simple majority of members present and voting.

¢ No Amendment shall be proposed to such a resolution.
This is true, as the Assembly cannot propose any
amendment to the bill passed by Parliament."
117,"“The age of a Judge of the Supreme Court of
India shall be determined by such authority
and in such manner as Parliament may by
laws provide” inserted by-


(a} 15th Constitution Amendment
{b) 16th Constitution Amendment",,,17th Constitution Amendment,18th Constitution Amendment,R.A.S./R.T.S. (Pre),2018.0,a,"Exp) Option a is the correct answer.

“The age of a Judge of the Supreme Court of India shall

be determined by such authority and in such manner, as

Parliament may by-laws provide” this feature was inserted

by the 15th Constitution Amendment. This amendment

empowered Parliament to prescribe the age of retirement for
judges of the Supreme Court of India through legislation."
118,"Match list-I with list-II and select the
correct answer using the codes given below
the lists:

Constitutional y «| Constitutional, -
Amendment) ....). | Amendment) iy
A. Right to form 1. 81st
Cooperative Amendment,
societies under | 2000
Article 19 (1)",3 2 4 1,1 4 2 3,3 1 4 2,2 3 1 4,,,c,"Exp) Option c is the correct answer.

e« The 97th Amendment of the Constitution of India added
the right to form cooperative societies under Article 19
(1)(c) in 2011

e The 81st Amendment of the Constitution of India
provided for the protection of SC/ST reservation in
filling backlog of vacancies in 2000

« The 99th Amendment of the Constitution of India
established the National Judicial Appointments
Commission in 2014

e The 91st Amendment of the Constitution of India limited
the size of the Council of Ministers to 15% of the total

number of members of the House of the People or the

Legislative Assembly in 2003 :"
119,"Consider the following statements
regarding Article 356 of the Constitution:

(i) Failure of Constitutional Machinery in

States is an objective reality.

(ii) A Proclamation under this Article can be

reviewed by the Supreme Court.
(iii) Along with this Proclamation, the State
Legislative Assembly can be dissolved.

(iv) This Proclamation has to be approved
by each House of Parliament within two
months.

Which of the statements given above is/are

correct?","(i), (ii) and (iv) only","(i), (ii) and (iii) only",(iii) and (iv) only,"(ii), (iii) and (iv) only",R.A.S./R.T.S.(Pre),2013.0,a,":
Exp) Option a is the correct answer
According to Article 356, President’s Rule can be imposed
on any state of India on the grounds of the failure of the
constitutional machinery. The proclamation of President’s
Rule should be approved in both Houses of Parliament within
two months of its issue. The approval is through a simple
majority, A Proclamation under this Article can be reviewed
by the Supreme Court. Along with this Proclamation, the
State Legislative Assembly cannot be dissolved."
120,"The President’s power to veto a Bill for
amendment of the Constitution has been
taken away by substituting the word ‘shall
give his assent’ by which amendment?

(R.A.S./R.T.S. (Pre) (Re-Exam) 2013]",44th Amendment,23rd Amendment,24th Amendment,42nd Amendment,,,c,"Exp) Option c is the correct answer.
The President’s power to veto a Bill for the amendment of
the Constitution was taken away by the 24th Amendment
to the Indian Constitution. Before the 24th Amendment,
the President had the discretion to either give or withhold
his assent to a Constitution Amendment Bill passed by
Parliament. However, the 24th Amendment, which was
enacted in 1971, substituted the phrase ‘shall give his assent’
for the word ‘may; thereby making it mandatory for the
President to give his assent to a Constitution Amendment Bill
once it has been duly passed by both Houses of Parliament.

; Important Tipss

* The 23rd Amendment of the Constitution of India,
enacted in 1969, extended the reservation of seats
for Scheduled Castes and Scheduled Tribes and
representation of Anglo-Indians by nomination in the
Lok Sabha and the State Legislative Assemblies for
another ten years, i.e., up to 1980

« The 42nd Amendment of the Constitution of India,
enacted in 1976, gave primacy to the Directive
Principles over Fundamental Rights, curtailed the
power of judicial review, strengthened the power
of Parliament and the executive, declared India as
a “sovereign socialist secular democratic republic’,
added new fundamental duties and a new chapter on
emergency provisions.

* The 44th Amendment of the Constitution of India,
enacted in 1978, restored the civil liberties and
democratic rights that were curtailed by the 42nd
Amendment during the Emergency. It also reduced
the duration of President’s rule, introduced safeguards
against misuse of emergency provisions, and deleted the
right to property from the list of fundamental rights."
121,"Consider the following statements:

1. Through the 44th Constitutional
Amendment, 1978 all the Directive
Principles of State Policy have been given
preference over Fundamental Rights
mentioned in Articles 14 and 19.

II. Supreme Court has laid down in its
verdict in Minerva Mills Case, 1980 that
the preference given only to Directive
Principles of State Policy mentioned in
Article 39",Neither I nor II is correct.,Only I is correct.,Only II is correct.,BothI and II are correct.,,,c,"Exp) Option c is the correct answer.

Statement I is incorrect: 44th Constitutional Amendment,
1978 did not give preference to all the Directive Principles
of State Policy over Fundamental Rights mentioned in
Articles 14 and 19. It only retained the preference given to
Directive Principles contained in Article 39 (b) and © by
the 25th Amendment, 1971.

Statement II is correct: Supreme Court has laid down in its
verdict in Minerva Mills Case, 1980 that the preference given
only to Directive Principles of State Policy mentioned in
Article 39 (b) and (c) over Fundamental Rights mentioned
in Articles 14 and 19 is Constitutional.

Important Tipss

Minerva Mill Case:

e The case was filed by Minerva Mills, a textile company
that was nationalized by the government under the Sick
Textile Undertakings Act, 1974.

e The case challenged the validity of clauses 4
and 5 of Article 368, which were inserted by the
42nd Amendment Act, 1976. These clauses gave
unlimited power to Parliament to amend any part of
the Constitution, including the basic structure, and
excluded judicial review of such amendments.

« The Supreme Court struck down these clauses as
unconstitutional and violative of the basic structure
doctrine. The court held that Parliament’s power to
amend is limited by the Constitution and cannot be
used to destroy its identity and spirit.

¢« Thecourt also upheld the validity of clause I of Article
31C, which gave preference to Directive Principles of
State Policy contained in Article 39 (b) and © over
Fundamental Rights mentioned in Articles 14 and 19.
However, the court struck down clause 2 of Article 31C,
which immunized any law from judicial scrutiny even
if it does not give effect to the Directive Principles.

¢ The court reaffirmed the doctrine of basic structure
and harmonious construction between Fundamental
Rights and Directive Principles.

e The court also clarified that the basic structure
includes the limited amending power of Parliament,
the supremacy of the Constitution, the democratic
and secular character of the polity, the separation of
powers, and the individual freedom."
122,"97th Constitutional Amendment Act of

2012 is concerned with-

(R.A.S./R.T.S. (Pre) 2012]","Free and compulsory education for

children upto the age of 14 years","Organization and working of cooperative

societies",Stringent measures to dea] with terrorism,Provision of Lokpal to prevent corruption,,,b,"Exp) Option b is the correct answer.

The 97th Amendment of the Constitution of Indla, officially

known as The Constitution (Ninety-seventh Amendment)

Act, 2011, introduced clauses dealing with the organization

and working of cooperative societies in the country.
Important Tipss

Features of 97th Constitutional Amendment Act:

¢ Itinserted anew Part LXB in the Constitution, which contains
Articles 243ZH to 243ZT, which deal with various aspects of
cooperative societies such as incorporation, membership,
elections, audit, supervision, offences and penalties,

« The amendment also added the words “or co-operative
societies” to Article 19(1)© of the Constitution to
expand the fundamental right to form associations or
unions to cover cooperative societies too.

| e It also added a new Directive Principle under Article
43B, which says: “The State shall endeavour to promote
voluntary formation, autonomous functioning,
democratic control and professional management of
co-operative societies”"
123,"Which of the following is not correctly

matched?","Article 22(1) | Right to be defended by
a legal practitioner of her
or his choice.","Article 22(4) | No law providing
preventive detention shall |
authorize the detention

| for a period longer than |
three months.","Article 22(2) | Parliament may by
law prescribe the
circumstances under
which a person may be
detained for a_ period
longer than three
months.","Article 22(1) |No person who is
arrested shall be in
custody without being
informed, as soon as may
be, of the grounds for |
such an arrest. |",Jharkhand P.C.S. (Pre),2021.0,c,"Exp) Option c is the correct answer.
Option (c) Article 22(2) is not correctly matched. The
correct match for Article 22(2) is: Every person who is
arrested and detained in custody shall be produced before
the nearest magistrate within a period of twenty-four hours
of such arrest excluding the time necessary for the journey
from the place of arrest to the court of the magistrate and
no such person shall be detained in custody beyond the said
period without the authority of a magistrate.
Important Tipss

Article 22 is divided into six clauses, which are: |

e Clause (1): Right to be informed of the grounds for |
arrest and the right to consult and be defended by a
legal practitioner of choice.

¢ Clause (2): Detained individuals must be produced
before the nearest magistrate within 24 hours, and
their detention cannot exceed this period without the
authority of a magistrate.

¢ Clause (3): Exemptions to the rights of arrest and
detention under clauses (1) and (2) for enemy aliens
and those detained under laws providing for preventive
detention.

e Clause (4): Preventive detention laws cannot authorize
detention for more than three months unless an
Advisory Board of High Court judges reports sufficient
cause for the continued detention.

e Clause (5): Detained individuals must be provided with
the grounds for the order of preventive detention and
given an opportunity to make a representation against
it.

« Clause (6): The authority making the order of
preventive detention is not obligated to disclose facts
that it deems against the public interest."
124,"Under which of the following Article of
thei Supreme Court is empowered to issue
different ‘Writs’ for the enforcement of

Fundamental Rights of the citizens?",Article 32,Article 33,Article 132,Article 226,Jharkhand PCS (Mains),2016.0,a,"Exp) Option a is the correct answer,

Article 32 of the Constitution of India empowers the
Supreme Court to issue different writs for the enforcement
of fundamental rights of the citizens. A writ is a written
order from the court that commands constitutional remedies
for the violation or protection of the right. The Supreme
Court can issue five types of writs, namely, habeas corpus,
mandamus, prohibition, certiorari and quo warranto.
Article 32 is considered as a part of the basic structure of
the Constitution and cannot be suspended except during an
emergency."
125,"Which Constitutional Amendment
bifurcated the Combined National
Commission for Scheduled Castes and
Scheduled Tribes into two separate bodies?
(Jharkhand P.C.S. (Pre) 2016]",42nd Amendment,44th Amendment,89th Amendment,93rd Amendment,,,c,"Exp) Option c is the correct answer.

The 89th Amendment of the Constitution of India, officially

known as The Constitution (Eighty-ninth Amendment) Act,

2003. bifurcated the combined National Commission for

SCs and STs into two separate bodies, namely, National

Commission for Scheduled Castes (under Article 338) and

National Commission for Scheduled Tribes (under Article

338-A)."
126,"As a part of the Right to Freedom, which
one of the following does not form part
of “Freedom to Assemble Peaceably and
Without Arms”?
(Jharkhand P.C.S. (Pre) 2013]","Gherao officials not performing their
duties",Peaceful assembly,"People who assemble should not bear
arms","State can make a Jaw imposing reasonable
restrictions on the exercise of this Right",,,a,".

Exp) Option a is the correct answer.

Gherao is a form of protest or agitation in which a group

of people surround an official or a building and prevent

them from leaving or entering until their demands are met.

Gherao is not protected by Article 19 (1) (b) of the

Constitution. It is punishable under various sections of the

Indian Penal Code, such as Section 141 (unlawful assembly),

Section 143 (punishment for unlawful assembly), Section

147 (rioting), Section 149 (common object of unlawful

assembly), Section 341 (wrongful restraint), Section 342

(wrongful confinement), Section 353 (assault or criminal

force to deter public servant from discharge of his duty), etc."
127,"Which of the following constitution
(Amendment) Act provides for goods and
Services Tax (G.S.T.)?","The Constitutions (Ninety Eighth)
Amendment Act 2012","The Constitutions (Ninety Eighth)
Amendment Act 2014","The Constitutions (One-Hundredth and
First) Amendment Act 2015","The Constitutions (One Hundred and
First) Amendment Act 2016",Chhattisgarh P.C.S. (Pre),2019.0,d,"Exp) Option d is the correct answer.

The Constitutions (One Hundred and First) Amendment

Act 2016 introduced a national Goods and Services Tax

(GST) in India from 1 July 2017. The amendment gave

concurrent taxing powers to the Union and the States to levy

GST on every transaction of supply of goods or services or

both. It also created the GST Council, a joint forum of the

Centre and States, to recommend matters related to GST."
128,"What are the restrictions in the freedom to
manage religious affairs in the Article-26 of
the constitution?
(i) Public Order
(ii) National Security
(iii) Education
(iv) Morality
(v) Health
(vi) Secularism
Code:","(i), (ii), (iii)","(ii), (iii), (v)","(ii), (iv), (vi)","(i), (iv), (v)",Chhattisgarh P.C.S. (Pre),2018.0,d,"Exp) Option d is the correct answer.

Article 26 of the Constitution of India is a fundamental

right that grants the freedom to manage religious affairs

to every religious denomination or any section thereof. It

provides that subject to public order, morality and health,

every religious denomination or any section thereof shall

have the right:

e to establish and maintain institutions for religious and
charitable purposes;

e to manage its own affairs in the matter of religion;

« to own and acquire movable and immovable property;
and

¢ to administer such property in accordance with law

National security, education, and secularism are not

mentioned in Article 26 as grounds for limiting the

religious rights of any denomination or section."
129,"The rights are called Fundamental Rights
because
i. It is written in the Constitution.
ii. It is democratic.

iii. It is public welfare.
iv. It is essential for personality development.
v. Parliament can’t make law against it.
Code:","i, ii, iii","i, iii, v","i, iv, v","ii, iii, v
(e) None of the Above",Chhattisgarh P.C.S. (Pre),2017.0,c,"Exp) Option c is the correct answer.

The rights are called Fundamental Rights because:

i. It is written in the Constitution. The Fundamental Rights
are enshrined in Part III of the Constitution of India from
Article 12 to 35 and are guaranteed to all citizens.

iv. It is essential for personality development. The

Fundamental Rights are defined as basic human freedoms

where every Indian citizen has the right to enjoy for a proper

and harmonious development of personality and life.

v. Parliament can’t make law against it. The Fundamental

Rights are enforceable by the courts, subject to certain

restrictions, and any law made by the Parliament that

violates or abridges the Fundamental Rights can be declared
unconstitutional by the judiciary

« Although the Fundamental Rights are essential for a
democratic system, they are not exclusively democratic
in nature. There are other forms of government that may
also grant some civil liberties to their citizens, such as
constitutional monarchy or republicanism.

« The Fundamental Rights are not necessarily related to
public welfare, which is more of a goal of the Directive
Principles of State Policy (Part IV of the Constitution).
The Fundamental Rights are more concerned with
individual rights and liberties that protect the citizens
from arbitrary state action or discrimination."
