q_no,q_statement,q_markdown,a,b,c,d,correct_option,explanation,exam,year,subject_name,section_name,topic_name,subtopic_name,microtopic_name,unit,is_check,for_review,added_at,updated_at
6,"<p>With reference to India, consider the following statements:</p>

<ol>
	<li>When a prisoner makes out a sufficient case, parole cannot be denied to such prisoner because it becomes a matter of his/her right.</li>
	<li>State Governments have their own Prisoner Release on Parole Rules.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","With reference to India, consider the following statements:

  1. When a prisoner makes out a sufficient case, parole cannot be denied to such prisoner because it becomes a matter of his/her right.
  2. State Governments have their own Prisoner Release on Parole Rules.

Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,"Exp) Option b is the correct answer.
Statement 1 is incorrect. Parole is a system of releasing a
prisoner with suspension of the sentence. Parole cannot
be claimed as a matter of right. Parole may be denied to a
prisoner even when he makes out sufficient cause for release
on parole.
Statement 2 is correct. State governments have their
own Prisoner Release on Parole Rules. ‘Prisons’ is a State
subject under the State List of the Seventh Schedule of the
Constitution.
The management and administration of prisons fall
exclusively in the domain of state governments and are
governed by the Prisons Act, 1894, and the Prison Manuals
of the respective state governments.
The Prisons Act further says that only states can make rules
regarding the release of prisoners on furlough, parole and
remission, as part of the correctional process in jail reforms.
Important Tips
Parole is to be granted only on a sufficient cause such
as cases of severe illness or death of any member of the
prisoner’s family. The granting authority for parole is the
deputy home secretary of the state government.
On the other hand, Furlough is seen as a matter of right
for a prisoner, to be granted periodically irrespective of
any reason. Jt is granted mercly to enable the prisoner to
retain family and social ties, and to counter the ill-effects
of prolonged time spent in prison.
Both Parole and Furlough can be denied if the competent
authority is of the opinion that releasing the inmate would
not be in the interest of society.",UPSC CSE Prelims,2021,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481540+00:00,2025-06-20T23:07:11.062171+00:00
7,"<p>With reference to Indian Judiciary, consider the following statements:</p>

<ol>
	<li>Any retired judge of the Supreme Court of India can be called back to sit and act as a Supreme Court judge by the Chief Justice of India with prior permission of the president of India.</li>
	<li>A High Court in India has the power to review its own judgement as the Supreme Court does.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","With reference to Indian Judiciary, consider the following statements:

  1. Any retired judge of the Supreme Court of India can be called back to sit and act as a Supreme Court judge by the Chief Justice of India with prior permission of the president of India.
  2. A High Court in India has the power to review its own judgement as the Supreme Court does.

Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,"Exp) Option a is the correct answer.
Statement 1 is correct. The Chief Justice of India can
request a retired judge of the Supreme Court or a retired
judge of a high court (duly qualified for appointment as
a Supreme Court judge) to act as a judge of the Supreme
Court for a temporary period. IIe can do so only with the
previous consent of the President and also of the person to
be so appointed. Such a judge is entitled to such allowances
as the president may determine. He will also enjoy all the
jurisdiction, powers and privileges of a judge of Supreme
Court.
Statement 2 is incorrect. The Supreme Court of India has
power to review its own judgement or order. Thus, it is not
bound by its previous decision and can depart from it in the
interest of justice or community welfare. As a court of record,
a High Court also has the power to review and correct its
own judgement or order. However, the power to review of
High Court is not similar to the Supreme Court because
the Supreme Court’s power to review is consitutionally
guaraneted but not in the case of High Court.",UPSC CSE Prelims,2021,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481565+00:00,2025-06-20T23:08:43.160335+00:00
8,"<p>Consider the following statements:</p>

<ol>
	<li>The motion to impeach a Judge of the Supreme Court of Indian cannot be rejected by the Speaker of the Lok Sabha as per the Judges (Inquiry) Act, 1968.</li>
	<li>The Constitution of India defines and gives details of what constitutes &lsquo;incapacity and proved misbehaviour&rsquo; of the Judges of the Supreme Court of India.</li>
	<li>The process of impeachment of the Judges of the Supreme Court of India is given in the Judges (Inquiry) Act, 1968.</li>
	<li>If the motion for the impeachment of a Judge is taken up for voting, the law requires the motion to be backed by each House of the Parliament and supported by a majority of total membership of that House and by not less than two-thirds of total members of that House present and voting.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","Consider the following statements:

  1. The motion to impeach a Judge of the Supreme Court of Indian cannot be rejected by the Speaker of the Lok Sabha as per the Judges (Inquiry) Act, 1968.
  2. The Constitution of India defines and gives details of what constitutes 'incapacity and proved misbehaviour' of the Judges of the Supreme Court of India.
  3. The process of impeachment of the Judges of the Supreme Court of India is given in the Judges (Inquiry) Act, 1968.
  4. If the motion for the impeachment of a Judge is taken up for voting, the law requires the motion to be backed by each House of the Parliament and supported by a majority of total membership of that House and by not less than two-thirds of total members of that House present and voting.

Which of the statements given above is/are correct?",1 and 2 only,3 only,3 and 4 only,"1, 3 and 4 only",c,"Exp) Option c is the correct answer.
Statement | is incorrect. According to provisions of Judges
(Inquiry) Act, 1968, the motion to impeach a judge of the
Supreme Court of India can be rejected by the Speaker of
the Lok Sabha.
Statement 2 is incorrect. The Constitution of India does
not define or give details of what constitutes ‘incapacity and
proved misbehaviour’ of the Judges of the Supreme Court of
India.
Statement 3 is correct. The Judges Enquiry Act (1968)
regulates the procedure relating to the removal of a judge of
the Supreme Court by the process of impeachment. It states
that a removal motion signed by 100 members (in the case of
Lok Sabha) or 50 members (in the case of Rajya Sabha) is to
be given to the Speaker/ Chairman.
Statement 4 is correct. If the motion for the impeachment
of a Judge is taken up for voting, the law requires the motion
to be backed by each House of the Parliament and supported
by a majority of total membership of that House and by not
less than two-thirds of total members of that House present
and voting. After the motion is passed by each House of
Parliament, an address is presented to the president for
removal of the judge. Finally, the president passes an order
removing the judge.",UPSC CSE Prelims,2020,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481599+00:00,2025-06-20T23:11:45.270640+00:00
9,"<p>In India, separation of judiciary from the executive is enjoined by</p>","In India, separation of judiciary from the executive is enjoined by",The Preamble of the Constitution,Directive Principle of State Policy,The Seventh Schedule,The conventional practice,b,"Exp) Option b is the correct answer.
Directive Principles of State Policy (DPSP) is enshrined in
Part-IV (Article 36 to 51) of the constitution.
According to Article 50, the State shall take steps to separate
the judiciary from the executive in the public services of the
State
Important Tips
The Criminal Procedure Code (1973) separated the
judiciary from the executive in the public services of
the state, Prior to this separation, the district authorities
like the collector, the sub-divisional officer, the tehsildar
and so on used to exercise judicial powers along with the
traditional executive powers. After the separation, the
judicial powers were taken away from these executive
authorities and vested in the hands of district judicial
magistrates who work under the direct control of the state
high court.",UPSC CSE Prelims,2020,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481625+00:00,2025-06-20T23:12:36.879271+00:00
10,"<p>Consider the following statements:</p>

<ol>
	<li>The Constitution of India defines its &lsquo;Basic Structure&rsquo; in terms of federalism,secularism, fundamental rights and democracy.</li>
	<li>The Constitution of India provides for &lsquo;Judicial review&rsquo; to safeguard the citizens&rsquo; liberties and to preserve the ideals on which the Constitution is based.</li>
</ol>

<p>Which of the statements given above is are correct?</p>","Consider the following statements:

  1. The Constitution of India defines its 'Basic Structure' in terms of federalism,secularism, fundamental rights and democracy.
  2. The Constitution of India provides for 'Judicial review' to safeguard the citizens' liberties and to preserve the ideals on which the Constitution is based.

Which of the statements given above is are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d,"Exp) Option d is the correct answer.
Statement 1 is incorrect. The basic structure doctrine is not
defined by the Constitution. It is rather a judicial invention
that came through Kesavananda Bharati vs State of Kerala
case (1973). Supreme Court said that the Constitution of
India has certain basic features that cannot be altered or
destroyed through the provisions of amendment, by the
Parliament of India, as mentioned in the Constitution of
India.

Statement 2 is incorrect. The term judicial review is not
found explicitly anywhere in the Indian constitution.
However, Article 13 of the Constitution empowers the SC
to review any law in India and strike it down if it violates
the Constitutional provisions, especially Part HII (on
Fundamental Rights), thus providing the power of judicial
review indirectly.",UPSC CSE Prelims,2020,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481651+00:00,2025-06-20T23:14:01.382384+00:00
11,"<p>In India, Legal Services Authorities provide free legal services to which of the following type of citizens?</p>

<ol>
	<li>Person with an annual income of less than Rs. 1,00,000.</li>
	<li>Transgender with an annual income of less than Rs. 2,00,000.</li>
	<li>Member of Other Backward Classes (OBC) with an annual income of less than Rs. 3,00,000.</li>
	<li>All Senior Citizens.</li>
</ol>

<p>Select the correct answer using the code given below:</p>","In India, Legal Services Authorities provide free legal services to which of
the following type of citizens?

  1. Person with an annual income of less than Rs. 1,00,000.
  2. Transgender with an annual income of less than Rs. 2,00,000.
  3. Member of Other Backward Classes (OBC) with an annual income of less than Rs. 3,00,000.
  4. All Senior Citizens.

Select the correct answer using the code given below:",1 and 2 only,3 and 4 only,2 and 3 only,1 and 4 only,a,"Exp) Option a is the correct answer.

The National Legal Services Authority (NALSA) has been
constituted under the Legal Services Authorities Act, 1987
to provide free Legal Services to the weaker sections of the
society and to organize Lok Adalats for amicable settlement
of disputes.

The Income Ceiling Limit prescribed under Section 12(h)
of the Act for availing free legal services depend on the
limits set by the respective State Governments. Thus, Senior
citizens’ eligibility for free legal aid depends on the Rules
framed by the respective State Governments in this regard.
The Income Ceiling Limit prescribed for availing free legal
services in is:

General -Rs. 1,00,000, Senior citizen- Rs. 2,00,000,
Transgender - Rs. 2,00,000.

Free legal aid is available to a member of a Scheduled Caste
or Scheduled Tribe, not OBC.",UPSC CSE Prelims,2020,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481676+00:00,2025-06-20T23:16:18.439154+00:00
12,"<p>With reference to the Constitution of India,consider the following statements:</p>

<ol>
	<li>No High Court shall have the jurisdiction to declare any central law to be constitutionally invalid.</li>
	<li>An amendment to the Constitution of India cannot be called into question bythe Supreme Court of India.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","With reference to the Constitution of India,consider the following statements:

  1. No High Court shall have the jurisdiction to declare any central law to be constitutionally invalid.
  2. An amendment to the Constitution of India cannot be called into question bythe Supreme Court of India.

Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d,"Exp) Option d is the correct answer.

Statement 1 is incorrect. With the power of judicial review,
High Courts can strike down State law as well as Central
laws. Though the phrase ‘judicial review’ has no where been
used in the Constitution, the provisions of Articles 13 and
226 explicitly confer the power of judicial review on a high
court.

Statement 2 is incorrect, The Supreme Court in Kesavananda
Bharati case (1973) held that Constitutional amendment can
be challenged on the ground that it violates a fundamental
right that forms a part of the ‘basic structure’ of the
Constitution and hence, can be declared as void. Therefore,
as it stands the constitutional amendment comes under a law
for judicial review if it violates any fundamental rights and
Basic structure of our constitution.",UPSC CSE Prelims,2019,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481704+00:00,2025-06-20T23:17:19.769586+00:00
13,"<p>Consider the following statements:</p>

<ol>
	<li>The 44th Amendment to the Constitution of India introduced an Article placing the election of the Prime Minister beyond judicial review.</li>
	<li>The Supreme Court of India struck down the 99th Amendment to the Constitution of India as being violative of the independence of judiciary.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","Consider the following statements:

  1. The 44th Amendment to the Constitution of India introduced an Article placing the election of the Prime Minister beyond judicial review.
  2. The Supreme Court of India struck down the 99th Amendment to the Constitution of India as being violative of the independence of judiciary.

Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,"Exp) Option b is the correct answer.

Statement 1 is incorrect. The 44° Amendment to the
Constitution of India had no provision placing the election of
the Prime Minister beyond judicial review. 44% Amendment
to the Constitution of India was enacted to nullify some of
the amendments made by the 427 Amendment Act, 1976.
Statement 2 is correct. 99th Constitutional Amendment
Act, 2014 was enacted to reflect the change in the system of
appointments of Judges from the collegium system. It sought
to establish the National Judicial Appointment Commission

(NJAC). This was struck down by the Supreme Court as
being violative of the independence of judiciary.",UPSC CSE Prelims,2019,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481730+00:00,2025-06-20T23:18:39.932112+00:00
14,"<p>In India, Judicial Review implies</p>","In India, Judicial Review implies",The power of the Judiciary to pronounce upon the constitutionality of laws and executive orders.,The power of the Judiciary to question the wisdom of the laws enacted by the Legislatures.,The power of the Judiciary to review all the legislative enactments before they are assented to by the President.,The power of the Judiciary to review its own judgements given earlier in similar or different cases.,a,"Exp) Option a is the correct answer.

Judicial Review is the power of the Courts to determine
the constitutionality of Legislative act and executions
orders. Judicial review is the power of the judiciary to
examine the constitutionality of legislative enactments and
executive orders of both the Central and State governments.
On examination, if they are found to be violative of the
Constitution (ultra vires), they can be declared as illegal,
unconstitutional and invalid (null and void) by the judiciary.
Consequently, they cannot be enforced by the Government.

Important Tips

The scope of judicial review before Indian courts has
evolved in three dimensions:

1, to ensure fairness in administrative action.

2. to protect the constitutionally guaranteed

fundamental rights of citizens
3. to rule on questions of legislative competence
between the centre and the states",UPSC CSE Prelims,2017,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481756+00:00,2025-06-20T23:19:22.079976+00:00
15,"<p>With reference to the &lsquo;Gram Nyayalaya Act which of the following statements is/are correct?</p>

<ol>
	<li>As per the Act, Gram Nyayalayas can hear only civil cases and not criminal cases.</li>
	<li>The Act allows local social activists as mediators/ reconciliators.</li>
</ol>

<p>Select the correct answer using the code given below.</p>","With reference to the 'Gram Nyayalaya Act which of the following statements
is/are correct?

  1. As per the Act, Gram Nyayalayas can hear only civil cases and not criminal cases.
  2. The Act allows local social activists as mediators/ reconciliators.

Select the correct answer using the code given below.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,"Exp) Option b is the correct answer.
Statement 1 is incorrect. Gram Nyayalayas are established
under the Gram Nyayalayas Act, 2008 for speedy and easy
access to justice system in the rural areas. They can try
criminal cases as well as civil suits, claims or disputes
which are specified in the First Schedule and the Second
Schedule of the Act.
Statement 2 is correct. The Act explicitly provides for
mediation by social workers. The Gram Nyayalaya shall not
be bound by the rules of evidence provided in the Indian
Evidence Act, 1872 but shall be guided by the principles of
natural justice and subject to any rule made by the High
Court.",UPSC CSE Prelims,2016,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481781+00:00,2025-06-20T23:24:01.669148+00:00
16,<p>Who/Which of the following is the custodian of the Constitution of India?</p>,Who/Which of the following is the custodian of the Constitution of India?,The President of India,The Prime Minister of India,The Lok Sabha Secretariat,The Supreme Court of India,d,"Exp) Option d is the correct answer.
The Constitution has conferred a very extensive jurisdiction
and vast powers on the Supreme Court. It is not only a
Federal Court like the American Supreme Court but also
a final court of appeal like the British House of Lords (the
Upper House of the British Parliament). It is also the final
interpreter and guardian/custodian of the Constitution
and guarantor of the fundamental rights of the citizens.
The Supreme Court ensures that the other branches of
government perform their responsibilities in accordance
with the Constitution. The Supreme Court also ensures that
the Constitution of India remains the law of the land and
the parliament doesn’t affect or in any way undo the soul of
the Constitution through its basic structure doctrine. This
also ensures that there aren’t any unreasonable restrictions
placed on fundamental rights of individuals by the state.",UPSC CSE Prelims,2015,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481807+00:00,2025-06-20T23:24:14.878862+00:00
17,"<p>What is the provision to safeguard the autonomy of the Supreme Court of India?</p>

<ol>
	<li>While appointing the Supreme Court Judges, the President of India has to consult the Chief Justice of India.</li>
	<li>The Supreme Court Judges can be removed by the Chief Justice of India only.</li>
	<li>The salaries of the Judges are charged on the Consolidated Fund of India to which the legislature does not have to vote.</li>
	<li>All appointments of officers and staffs of the Supreme Court of India are made by the Government only after consulting the Chief Justice of India.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","What is the provision to safeguard the autonomy of the Supreme Court of India?

  1. While appointing the Supreme Court Judges, the President of India has to consult the Chief Justice of India.
  2. The Supreme Court Judges can be removed by the Chief Justice of India only.
  3. The salaries of the Judges are charged on the Consolidated Fund of India to which the legislature does not have to vote.
  4. All appointments of officers and staffs of the Supreme Court of India are made by the Government only after consulting the Chief Justice of India.

Which of the statements given above is/are correct?",1 and 3 only,3 and 4 only,4 only,"1, 2,3 and 4",a,"Exp) Option a is the correct answer.

Statement 1 is correct. The judges of the Supreme Court

are appointed by the President in consultation with the

Chief Justice of India. This provision curtails the absolute

discretion of the executive as well as ensures that the judicial

appointments are not based on any political or practical

considerations.

Statement 2 is incorrect. A judge of the Supreme Court

can be removed from his Office by an order of the

president. The President can issue the removal order only

after an address by Parliament has been presented to him

in the same session for such removal. The address must be

supported by a special majority of each House of Parliament.
Statement 3 is correct. The salaries, allowances and

pensions of the judges and the staff as well as all the

administrative expenses of the Supreme Court are charged

on the Consolidated Fund of India. ‘Thus, they are non-

votable by the Parliament (though they can be discussed by

it).

Statement 4 is incorrect. All appointments of officers and

staffs of the Supreme Court of India are made by the Chief

Justice of India. ‘to maintain the independence of the

judiciary the Chief Justice of India has been given powers to

appoint officers and servants of the Supreme Court without

any interference from the executive. He can also prescribe

their conditions of service.

Iinportant Tips

The power to increase the number of judges in the
Supreme Court of India is vested in the parliament. At
present, the Supreme Court consists of thirty-four judges
(one chief justice and thirty-three other judges). In 2019,
the centre notified an increase in the number of Supreme
Court judges from thirty-one to thirty-four, including
the Chief Justice of India. This followed the enactment of
the Supreme Court (Number of Judges) Amendment Act,
2019. Originally, the strength of the Supreme Court was
fixed at eight (one chief justice and seven other judges).",UPSC CSE Prelims,2012,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481832+00:00,2025-06-20T23:25:29.568661+00:00
18,"<p>Which of the following are included in the original jurisdiction of the Supreme Court?</p>

<ol>
	<li>A dispute between the Government of India and one or more States</li>
	<li>A dispute regarding elections to either House of the Parliament or that of Legislature of a State</li>
	<li>A dispute between the Government of India and a Union Territory</li>
	<li>A dispute between two or more States</li>
</ol>

<p>Select the correct answer using the codes given below:</p>","Which of the following are included in the original jurisdiction of the
Supreme Court?

  1. A dispute between the Government of India and one or more States
  2. A dispute regarding elections to either House of the Parliament or that of Legislature of a State
  3. A dispute between the Government of India and a Union Territory
  4. A dispute between two or more States

Select the correct answer using the codes given below:",1 and 2 only,2 and 3 only,land 4 only,3 and 4 only,c,"Exp) Option c is the correct answer.

As a federal court, the Supreme Court decides the disputes

between different units of the Indian Federation. More

elaborately, the Supreme Court has exclusive original

jurisdiction in the cases where there is any dispute:

(a) Between the Centre and one or more states; or

(b) Between the Centre and any state or states on one side

and one or more other states on the other side; or

(c) Between two or more states.

Exclusive means, no other court can decide such disputes

and original means, the power to hear such disputes in the

first instance, not by way of appeal.",UPSC CSE Prelims,2012,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481862+00:00,2025-06-20T23:26:50.877735+00:00
19,<p>How many High Courts in India have jurisdiction over more than one State (Union Territories not included)?</p>,"How many High Courts in India have jurisdiction over more than one State
(Union Territories not included)?",2,3,4,5,b,"Exp) Option b is the correct answer.

There are 21 Uigh Courts in the country, out of these 3 have

jurisdiction over more than one state.

¢ Bombay High Court has the jurisdiction over
Maharasthra, Goa, Dada and Nagar Haveli and Daman
and Diu.

« Guwahati High Court, which was earlier known as
Assam High Court, has the jurisdiction over Assam,
Nagaland, Mizoram and Arunachal Pradesh.

¢ Punjab and Haryana High Court has the jurisdiction
over Punjab, Haryana and Chandigarh.",UPSC CSE Prelims,2012,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481888+00:00,2025-06-20T23:27:15.960465+00:00
20,"<p>Consider the following statements:</p>

<p>The Supreme Court of India tenders advice to the President of India on matters of law or fact</p>

<ol>
	<li>On its own initiative (on any matter of larger public interest).</li>
	<li>If he seeks such an advice.</li>
	<li>Only if the matters relate to the Fundamental Rights of the citizens.</li>
</ol>

<p>Which of the statement given above is/are correct?</p>","Consider the following statements:

The Supreme Court of India tenders advice to the President of India on matters
of law or fact

  1. On its own initiative (on any matter of larger public interest).
  2. If he seeks such an advice.
  3. Only if the matters relate to the Fundamental Rights of the citizens.

Which of the statement given above is/are correct?",1 only,2 only,3 only,land2,b,"Exp) Option b is the correct answer.

The Supreme Court of India tenders advice to the President

of India on matters of law or fact only if the President seeks

such an advice (and not on its own initiative).

The Constitution (Article 143) authorises the president to

seck the opinion of the Supreme Court in the two categories

of matters:

1) On any question of law or fact of public importance which
has arisen or which is likely to arise. In this situation, the
Supreme Court may tender or may refuse to tender its
opinion to the president.

2) On any dispute arising out of any pre-constitution
treaty, agreement, covenant, engagement, sanad or other
similar. In this situation, the Supreme Court must tender
its opinion to the president.

In both the cases, the opinion expressed by the Supreme
Court is only advisory and not a judicial pronouncement.
Hence, it is not binding on the president; he may follow
or may not follow the opinion. However, it facilitates the
government to have an authoritative legal opinion on a
matter to be decided by it.
The President can seek advice of Supreme Court on matters
related to Fundamental rights but it is not the only matter on
which President can seek advice.",UPSC CSE Prelims,2011,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481914+00:00,2025-06-20T23:29:47.152473+00:00
21,"<p>With reference to Lok Adalat&rsquo;s, which of the following statements is correct?</p>","With reference to Lok Adalat's, which of the following statements is correct?",Lok Adalat has the jurisdiction to settle the matters at the pre-litigation stage and not those matters pending before any court.,Lok Adalat’s can deal with matters which are civil and not criminal in nature.,Every Lok Adalat consists of either serving or retired judicial officers only and not any other person.,None of the statements given above is correct.,d,"Exp) Option d is the correct answer.
Option a is incorrect-Lok Adalats have the jurisdiction to
settle both pre-litigation and pending cases. They are an
alternative dispute resolution mechanism aimed at resolving
disputes outside the regular court process. They can take up
cases that are yet to be filed in court (pre-litigation) as well
as cases that are already pending before the courts.
Option b is incorrect- While Lok Adalats are more
commonly associated with settling civil disputes, they can
also handle certain criminal cases that are compoundable
offenses. Compoundable offenses are those offenses where
the victim and the accused can reach a compromise, and the
case can be withdrawn.
Option c is incorrect- While Lok Adalats do have the
participation of judicial officers, they are not exclusively
composed of serving or retired judicial officers. Lok Adalats
typically involve a panel of members, which may include
serving or retired judicial officers, lawyers, social workers,
or any other person with legal expertise or experience in
dispute resolution.",UPSC CSE Prelims,2010,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481940+00:00,2025-06-20T23:30:38.702857+00:00
22,<p>A Constitution (Amendment) Act may be declared unconstitutional by the Supreme Court of India if it-</p>,"A Constitution (Amendment) Act may be declared unconstitutional by the Supreme
Court of India if it-",Establishes three-tier federal set up in place of the existing two tier-set up.,Removes Right of Equality before the law from Part III and places it elsewhere in the Constitution.,Replaces Parliamentary System of Executive with the Presidential one.,Establishes a Federal Court of Appeal to lighten the burden of the Supreme Court.,b,"Exp) Option b is the correct answer
Right to equality forms part of basic structure of Constitution.
As per Keshavananda Bharati case basic structure of
constitution cannot be amended. Hence removing Right to
Equality from part Ill and placing it elsewhere in constitution
may be declared as unconstitutional by Supreme Court of
India.",UPSC CSE Prelims,2009,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481967+00:00,2025-06-20T23:34:17.428997+00:00
23,"<p>Consider the following statements:</p>

<ol>
	<li>Justice V.R. Krishna Iyer was the Chief Justice of India.</li>
	<li>Justice V.R. Krishna Iyer is considered as one of the progenitors of Public Interest Litigation (PIL) in the Indian Judicial System.</li>
</ol>

<p>Which of the statement(s) given above is/are correct?</p>","Consider the following statements:

  1. Justice V.R. Krishna Iyer was the Chief Justice of India.
  2. Justice V.R. Krishna Iyer is considered as one of the progenitors of Public Interest Litigation (PIL) in the Indian Judicial System.

Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,"Exp) Option b is the correct answer
Justice V. R. Krishna Iyer was a judge and Minister who
reformed the Indian criminal justice system. He stood
up for the poor and the underprivileged, and remained a
human rights champion, a crusader for social justice and
the environment, and a doyen of civil liberties, throughout
his life. Justice V.R. Krishna lyer and Justice P.N. Bhagwati
are considered the pioneer/ progenitors of Public Interest
Litigation (PIL).",UPSC CSE Prelims,2008,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.481992+00:00,2025-06-20T23:35:17.113642+00:00
24,"<p>Consider the following statements:</p>

<ol>
	<li>The mode of removal of a Judge of a High Court in India is same as that of removal of a Judge of the Supreme Court.</li>
	<li>After retirement from the office, a permanent Judge of a High Court cannot plead or act in any Court or before any authority in India.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","Consider the following statements:

  1. The mode of removal of a Judge of a High Court in India is same as that of removal of a Judge of the Supreme Court.
  2. After retirement from the office, a permanent Judge of a High Court cannot plead or act in any Court or before any authority in India.

Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor,a,"Exp) Option a is the correct answer.
Statement I is correct- The mode of removal of a Judge of a
High Court in India is same as that of removal of a Judge of
the Supreme Court. Both judges can be removed by a process
of impeachment, which is initiated by a motion -a removal
motion signed by 100 members (in the case of Lok Sabha)
or 50 members (in the case of Rajya Sabha) and passed by
Special majority once admitted by the Presiding officer of
the House. The ground of removal is proved misbehavior
or incapacity.
Statement 2 is incorrect- According to the constitution, a
retired High Court judge is not allowed to practice law in any
court or before any authority in India, except the Supreme
Court and other High Courts. This restriction implies that
the retired judge cannot practice in lower courts or in the
High Court from which he/she has retired.

Important Tips

Some of the provision for independence of Judge of High

Court:

«+ Mode of appointment: The judges of a High Court are
appointed by the President of India in consultation
with the Chief Justice of India and the Chief Justice
of the High Court. This ensures that the appointment
is made on the basis of merit and not on political
considerations.

¢ Security of tenure: The judges of a High Court hold
office until they attain the age of 62 years. They can
only be removed from office by the President on the
grounds of proved misbehaviour or incapacity, after
an inquiry into the matter by a Supreme Court judge.
This ensures that judges can discharge their duties
without fear of being removed from office for political
or other reasons

e Fixed service conditions: The salaries, allowances,
privileges, leave and pension of the judges of a High
Court are determined by Parliament. These cannot be
changed to their disadvantage after their appointment.
‘This ensures that judges can enjoy a reasonable
standard of living and do not have to worry about their
financial security.

« Expenses charged on Consolidated Fund: The
salaries and allowances of the judges of a High
Court are charged on the Consolidated Fund of
India. This means that they are not subject to the
annual budgetary process and cannot be reduced
or abolished by Parliament. This ensures that the
financial independence of the judges is protected.

¢ Prohibition of discussion in Parliament: The conduct
of the judges of a High Court cannot be discussed in
Parliament. This ensures that the judges can discharge
their duties without fear of being subjected to political
pressure",UPSC CSE Prelims,2007,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.482017+00:00,2025-06-20T23:35:58.233921+00:00
25,"<p>Consider the following statements:</p>

<ol>
	<li>The Parliament cannot enlarge the Jurisdiction of the Supreme Court of India as its Jurisdiction is limited to that conferred by the Constitution.</li>
	<li>The officers and servants of the Supreme Court and High Courts are appointed by the concerned Chief Justice, and the administrative expenses are charged on the Consolidated Fund of India.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","Consider the following statements:

  1. The Parliament cannot enlarge the Jurisdiction of the Supreme Court of India as its Jurisdiction is limited to that conferred by the Constitution.
  2. The officers and servants of the Supreme Court and High Courts are appointed by the concerned Chief Justice, and the administrative expenses are charged on the Consolidated Fund of India.

Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d,"Exp) Option d is the correct answer

Statement 1 is incorrect: Under Article 138 of the
Constitution of India, the Parliament by law can enlarge the
jurisdiction and power of the Supreme Court on any matter
in the Union List.

Statement 2 is incorrect: As per Article 146 and 229,
appointments of officers and servants of the Supreme
Court and High Courts are made by their respective
Chief Justices. The conditions of service are governed
by rules made by the Chief Justices, with salary-related
rules requiring the President’s or Governor’s approval.
The administrative expenses of the Supreme Court are
charged on the Consolidated Fund of India, while the
administrative expenses of High Courts are charged on the
Consolidated Fund of states.",UPSC CSE Prelims,2005,Polity,,,,,4,TRUE,FALSE,2025-06-19T12:00:09.482042+00:00,2025-06-20T23:37:13.376350+00:00
